DATASET,GAME_ID,DATE,TEAM,VENUE,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,OT5,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,"TO
TO",BL,PTS,POSS,PACE,OEFF,DEFF,"TEAM
REST DAYS",STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,"LINE 
MOVEMENT #1","LINE 
MOVEMENT #2","LINE 
MOVEMENT #3","CLOSING
ODDS",CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,HALFTIME,"BOX SCORE
URL","ODDS
URL"
NBA 2018-2019 Regular Season,21800006,10/17/18,Miami,R,31,20,27,23,,,,,,101,240,38,97,9,33,16,22,14,38,52,16,28,4,16,17,5,101,104,104,97.1,100,3+,Rodney McGruder,Derrick Jones Jr.,Hassan Whiteside,Josh Richardson,Goran Dragic,Tom Washington,Ray Acosta,-2,-2,210.5,-2.5,-7.5, -2 -15,-2.5,-2.5,208,-135,-3,,
NBA 2018-2019 Regular Season,21800006,10/17/18,Orlando,H,25,29,25,25,,,,,,104,240,39,94,7,25,19,31,14,37,51,20,25,7,12,12,7,104,104,104,100,97.1,3+,Jonathan Isaac,Aaron Gordon,Nikola Vucevic,Evan Fournier,D.J. Augustin,,Matt Boland,210.5,2,210.5,209u13,208.5, 208o100,208,2.5,208,115,103,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800007,10/17/18,Atlanta,R,24,25,35,23,,,,,,107,240,41,90,10,36,15,18,7,38,45,19,30,7,24,24,3,107,114,114,93.8,110.5,3+,Vince Carter,Taurean Prince,Alex Len,Kent Bazemore,Trae Young,Ron Garretson,Marat Kogut,213.5,3.5,213.5,216,216o11 ,216,216.5,4,216.5,148,106,,
NBA 2018-2019 Regular Season,21800007,10/17/18,New York,H,23,49,34,20,,,,,,126,240,45,99,12,33,24,31,10,36,46,21,23,12,15,16,6,126,114,114,110.5,93.8,3+,Frank Ntilikina,Lance Thomas,Enes Kanter,Trey Burke,Tim Hardaway Jr.,,John Goble,-3.5,-3.5,213.5,-18,-3.5, -3.5 -15,-4,-4,216.5,-170,4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800008,10/17/18,Cleveland,R,25,22,28,29,,,,,,104,240,34,85,7,19,29,39,14,35,49,17,25,4,16,16,0,104,100.8,100.8,103.1,115,3+,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,Mark Ayotte,Brett Nansel,214,11.5,214,215.5,215.5u26 ,214.5,215.5,12.5,215.5,797,106.5,,
NBA 2018-2019 Regular Season,21800008,10/17/18,Toronto,H,28,32,30,26,,,,,,116,240,45,92,14,33,12,20,8,35,43,21,29,6,9,10,7,116,100.8,100.8,115,103.1,3+,Kawhi Leonard,Pascal Siakam,Jonas Valanciunas,Danny Green,Kyle Lowry,,Kane Fitzgerald,-11.5,-11.5,214,-13,-15, -13 -05,-12.5,-12.5,215.5,-1300,-3,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800009,10/17/18,New Orleans,R,35,36,30,30,,,,,,131,240,52,98,10,25,17,22,14,40,54,36,25,8,12,12,3,131,103.5,103.5,126.6,108.3,3+,E'Twaun Moore,Nikola Mirotic,Anthony Davis,Elfrid Payton,Jrue Holiday,Eric Lewis,Kevin Cutler,229.5,7.5,229.5,233u12,233,232,233,8,233,278,114,,
NBA 2018-2019 Regular Season,21800009,10/17/18,Houston,H,29,25,30,28,,,,,,112,240,39,92,16,48,18,24,8,29,37,21,22,8,11,12,7,112,103.5,103.5,108.3,126.6,3+,James Ennis III,PJ Tucker,Clint Capela,James Harden,Chris Paul,,Curtis Blair,-7.5,-7.5,229.5,-7.5,-22.5,-8,-13,-8,233,-345,-9.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800010,10/17/18,Minnesota,R,23,29,31,25,,,,,,108,240,39,91,6,19,24,27,14,32,46,20,27,9,11,11,2,108,95.8,95.8,112.7,116.8,3+,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,Tony Brown,Mitchell Ervin,210.5,1,210.5,210.5,210.5,210.5,212,2.5,212,125,105,,
NBA 2018-2019 Regular Season,21800010,10/17/18,San Antonio,H,31,25,25,31,,,,,,112,240,40,93,11,25,21,29,19,33,52,22,22,3,12,12,4,112,95.8,95.8,116.8,112.7,3+,Rudy Gay,LaMarcus Aldridge,Jakob Poeltl,DeMar DeRozan,Bryn Forbes,,Tre Maddox,-1,-1,210.5,-3,-7.5,-2,-2.5,-2.5,212,-145,-0.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800011,10/17/18,Utah,R,30,38,25,30,,,,,,123,240,41,79,13,27,28,38,5,39,44,21,19,8,17,17,4,123,105.7,105.7,116.4,110.7,3+,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,Marc Davis,CJ Washington,-7.5,-7.5,208,-23.5,-9,-8.5,-23.5,-8.5,205.5,-400,-1.5,,
NBA 2018-2019 Regular Season,21800011,10/17/18,Sacramento,H,34,21,32,30,,,,,,117,240,49,95,7,19,12,18,5,32,37,17,27,8,9,9,3,117,105.7,105.7,110.7,116.4,3+,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,,J.T. Orr,208,7.5,208,204,205,204.5,205.5,8.5,205.5,317,106,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800012,10/17/18,Denver,R,29,30,15,33,,,,,,107,240,33,87,8,24,33,42,14,42,56,20,22,6,10,11,9,107,100.4,100.4,106.6,97.6,3+,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,Derek Richardson,Scott Twardoski,227,0,227,-2.5,-2, -2 -13,-2,-2,222.5,-125,-4.5,,
NBA 2018-2019 Regular Season,21800012,10/17/18,LA Clippers,H,24,30,18,26,,,,,,98,240,35,88,8,28,20,24,9,38,47,21,32,3,12,14,9,98,100.4,100.4,97.6,106.6,3+,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Patrick Beverley,,Jason Phillips,PK,0,227,224,224u21 ,223,222.5,2,222.5,105,110.5o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800013,10/17/18,Dallas,R,24,22,27,27,,,,,,100,240,38,88,10,33,14,20,10,28,38,28,16,7,9,9,5,100,93.1,93.1,107.4,129.9,3+,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,Mike Callahan,Kevin Scott,215,1,215,-2,-2.5, -2 -15,-2.5,-2.5,212.5,-130,-4.5,,
NBA 2018-2019 Regular Season,21800013,10/17/18,Phoenix,H,37,19,27,38,,,,,,121,240,44,81,19,34,14,16,6,38,44,35,22,5,11,12,2,121,93.1,93.1,129.9,107.4,3+,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,,Leon Wood,-1,-1,215,215,214.5,214,212.5,2.5,212.5,110,106,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800014,10/18/18,Chicago,R,41,17,18,32,,,,,,108,240,44,101,11,33,9,12,5,34,39,28,23,4,12,12,6,108,108.4,108.4,99.6,117.2,3+,Justin Holiday,Bobby Portis,Wendell Carter Jr.,Zach LaVine,Cameron Payne,Ken Mauer,Nick Buchert,215,11,215,220u11,220,220.5,221,12.5,221,733,109,,
NBA 2018-2019 Regular Season,21800014,10/18/18,Philadelphia,H,38,27,37,25,,,,,,127,240,44,93,12,36,27,30,11,44,55,30,17,10,13,13,8,127,108.4,108.4,117.2,99.6,1,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,,Pat Fraher,-11,-11,215,-11.5,-26.5,-12,-27.5,-12.5,221,-1150,-5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800015,10/18/18,Miami,R,24,34,27,28,,,,,,113,240,38,97,12,35,25,34,22,33,55,25,26,6,16,19,5,113,103.4,103.4,109.2,108.3,B2B,Rodney McGruder,Derrick Jones Jr.,Hassan Whiteside,Josh Richardson,Goran Dragic,Mark Ayotte,Aaron Smith,212,4,212,214,214u11 ,214,215,6,215,215,106.5,,
NBA 2018-2019 Regular Season,21800015,10/18/18,Washington,H,25,34,30,23,,,,,,112,240,38,81,7,26,29,39,7,33,40,19,31,7,14,14,15,112,103.4,103.4,108.3,109.2,3+,Otto Porter Jr.,Markieff Morris,Ian Mahinmi,Bradley Beal,John Wall,,Sean Wright,-4,-4,212,-6,-19, -6 -15,-11,-6,215,-260,-18.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800016,10/18/18,LA Lakers,R,31,32,28,28,,,,,,119,240,45,93,7,30,22,29,8,38,46,23,26,10,15,15,6,119,111.8,111.8,106.5,114.5,3+,Brandon Ingram,LeBron James,JaVale McGee,Kentavious Caldwell-Pope,Rajon Rondo,Zach Zarba,Gediminas Petraitis,222,2.5,222,223.5,224, 224u11,224,3,224,135,112o20,,
NBA 2018-2019 Regular Season,21800016,10/18/18,Portland,H,34,31,28,35,,,,,,128,240,44,100,13,37,27,29,14,40,54,21,26,9,16,17,10,128,111.8,111.8,114.5,106.5,3+,Jake Layman,Al-Farouq Aminu,Jusuf Nurkic,CJ McCollum,Damian Lillard,,Brian Forte,-2.5,-2.5,222,-8,-17,-3,-18,-3,224,-155,-6.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800017,10/19/18,Charlotte,R,22,29,31,38,,,,,,120,240,43,92,17,38,17,20,12,43,55,32,17,6,15,16,4,120,102.9,102.9,116.6,85.5,1,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Ron Garretson,Mitchell Ervin,PK,0,217,-1,-16.5,-1.5,-6.5,-1.5,215.5,-125,4.5,,
NBA 2018-2019 Regular Season,21800017,10/19/18,Orlando,H,10,21,23,34,,,,,,88,240,36,94,6,31,10,14,12,32,44,18,16,8,15,18,7,88,102.9,102.9,85.5,116.6,1,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,,David Guthrie,217,0,217,215.5,216.5,216,215.5,1.5,215.5,105,107.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800018,10/19/18,New York,R,24,26,26,29,,,,,,105,240,39,97,9,28,18,20,12,24,36,14,19,10,3,3,1,105,93.8,93.8,112,114.1,1,Frank Ntilikina,Lance Thomas,Enes Kanter,Trey Burke,Tim Hardaway Jr.,Eric Lewis,Brett Nansel,218.5,3,218.5,221.5,222,221.5,222,4,222,148,110u15,,
NBA 2018-2019 Regular Season,21800018,10/19/18,Brooklyn,H,33,24,17,33,,,,,,107,240,37,75,12,30,21,24,12,43,55,22,23,2,22,22,6,107,93.8,93.8,114.1,112,1,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,,Kevin Cutler,-3,-3,218.5,-4,-19,-4,-9,-4,222,-170,PK,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800019,10/19/18,Boston,R,25,28,26,22,,,,,,101,240,40,99,14,36,7,10,16,33,49,29,27,4,14,16,6,101,99.3,99.3,101.7,113.8,2,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,James Capers,Karl Lane,206,3,206,209,209u12 ,209,209.5,3,209.5,135,109u15,,
NBA 2018-2019 Regular Season,21800019,10/19/18,Toronto,H,18,31,33,31,,,,,,113,240,43,92,13,35,14,19,12,37,49,24,19,3,12,13,3,113,99.3,99.3,113.8,101.7,1,Kawhi Leonard,Pascal Siakam,Serge Ibaka,Danny Green,Kyle Lowry,,Michael Smith,-3,-3,206,-3,-8,-3,-18,-3,209.5,-155,-2.5 EVEN,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800020,10/19/18,Atlanta,R,33,28,21,35,,,,,,117,240,41,83,14,30,21,36,11,29,40,27,31,9,19,19,5,117,106.5,106.5,109.9,123.1,1,Taurean Prince,Vince Carter,Alex Len,Kent Bazemore,Trae Young,Courtney Kirkland,Tyler Ford,208.5,6.5,208.5,215.5,216,216.5,217,7,217,237,107.5,,
NBA 2018-2019 Regular Season,21800020,10/19/18,Memphis,H,37,40,29,25,,,,,,131,240,44,81,13,26,30,43,7,34,41,32,29,9,16,17,4,131,106.5,106.5,123.1,109.9,1,Chandler Parsons,JaMychal Green,Marc Gasol,Garrett Temple,Mike Conley,,Curtis Blair,-6.5,-6.5,208.5,-6,-6.5, -6.5 -15,-7,-7,217,-290,0.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800021,10/19/18,Cleveland,R,30,24,41,28,,,,,,123,240,45,93,8,23,25,29,13,30,43,26,24,5,14,14,2,123,103.9,103.9,118.4,126.1,1,Cedi Osman,Kevin Love,Tristan Thompson,Rodney Hood,George Hill,Brent Barnaky,Justin Van Duyne,223.5,8,223.5,223.5,223.5u26 ,222,223,8.5,223,334,107.5,,
NBA 2018-2019 Regular Season,21800021,10/19/18,Minnesota,H,32,39,33,27,,,,,,131,240,44,87,10,25,33,35,9,31,40,28,21,9,13,14,7,131,103.9,103.9,126.1,118.4,1,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Jimmy Butler,Jeff Teague,,Josh Tiven,-8,-8,223.5,-19,-8, -8 -15,-8.5,-8.5,223,-425,1,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800022,10/19/18,Sacramento,R,32,31,27,39,,,,,,129,240,50,96,10,25,19,26,9,30,39,24,26,6,13,13,2,129,111.3,111.3,115.9,133.9,1,Buddy Hield,Nemanja Bjelica,Willie Cauley-Stein,Yogi Ferrell,De'Aaron Fox,Sean Corbin,Ben Taylor,228,10.5,228,232.5,231.5,232,232.5,11.5,232.5,664,115,,
NBA 2018-2019 Regular Season,21800022,10/19/18,New Orleans,H,40,32,38,39,,,,,,149,240,56,95,16,31,21,33,12,40,52,35,25,6,16,16,4,149,111.3,111.3,133.9,115.9,1,E'Twaun Moore,Anthony Davis,Nikola Mirotic,Jrue Holiday,Elfrid Payton,,Leroy Richardson,-10.5,-10.5,228,-26,-11,-11.5,-26.5,-11.5,232.5,-1000,-4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800023,10/19/18,Indiana,R,25,28,23,25,,,,,,101,240,38,87,6,18,19,27,9,32,41,14,25,7,17,17,3,101,105,105,96.2,112.4,1,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,Rodney Mott,Ray Acosta,214.5,3,214.5,216,217, 217u11,217,3.5,217,144,105.5,,
NBA 2018-2019 Regular Season,21800023,10/19/18,Milwaukee,H,30,32,31,25,,,,,,118,240,44,93,17,46,13,21,11,39,50,27,26,9,17,17,8,118,105,105,112.4,96.2,1,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,,Tony Brown,-18,-3,214.5,-3.5,-4, -4 -05,-3.5,-3.5,217,-165,0.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800024,10/19/18,Golden State,R,32,37,28,27,,,,,,124,240,49,87,10,19,16,18,8,35,43,27,23,10,16,16,6,124,103.6,103.6,119.7,118.8,2,Kevin Durant,Draymond Green,Damian Jones,Klay Thompson,Stephen Curry,Mike Callahan,Mark Lindsay,-2,-2,218,-9.5,-2,-2.5,-17.5,-2.5,217.5,-135,-25.5,,
NBA 2018-2019 Regular Season,21800024,10/19/18,Utah,H,34,47,22,20,,,,,,123,240,40,89,19,46,24,29,10,28,38,24,19,11,16,17,4,123,103.6,103.6,118.8,119.7,1,Joe Ingles,Derrick Favors,Rudy Gobert,Donovan Mitchell,Ricky Rubio,,Leon Wood,218,2,218,219,218,218.5,217.5,2.5,217.5,115,108.5o15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800025,10/19/18,Oklahoma City,R,20,26,31,15,,,,,,92,240,34,95,7,33,17,23,15,37,52,18,29,5,12,13,4,92,99.3,99.3,92.6,108.7,2,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Dennis Schroder,Marc Davis,CJ Washington,215.5,1.5,215.5,212.5o26,215,214.5,214,3,214,130,106,,
NBA 2018-2019 Regular Season,21800025,10/19/18,LA Clippers,H,27,21,23,37,,,,,,108,240,35,81,11,26,27,36,10,38,48,21,24,3,14,15,3,108,99.3,99.3,108.7,92.6,1,Tobias Harris,Danilo Gallinari,Marcin Gortat,Avery Bradley,Patrick Beverley,,Kevin Scott,-1.5,-1.5,215.5,-18,-15, -3 -15,-3,-3,214,-150,-1,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800026,10/20/18,Brooklyn,R,29,29,27,27,,,,,,112,240,41,86,16,37,14,22,9,31,40,25,18,6,20,20,6,112,102.4,102.4,109.4,128.9,3IN4-B2B,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Ken Mauer,Jonathan Sterling,210.5,9,210.5,213.5,213.5o11 ,213.5,214.5,8,214.5,303,111.5,,
NBA 2018-2019 Regular Season,21800026,10/20/18,Indiana,H,33,34,28,37,,,,,,132,240,51,92,16,24,14,22,10,30,40,21,18,12,10,11,5,132,102.4,102.4,128.9,109.4,3IN4-B2B,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,,Dedric Taylor,-9,-9,210.5,-8,-23,-8.5,-8,-8,214.5,-380,-2,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800027,10/20/18,Toronto,R,24,33,33,27,,,,,,117,240,39,88,10,29,29,36,14,38,52,21,29,5,17,17,5,117,102,102,114.7,110.7,3IN4-B2B,Norman Powell,OG Anunoby,Jonas Valanciunas,Danny Green,Kyle Lowry,Kevin Cutler,Jason Goldenberg,-1,-1,216.5,220,219,218.5,219.5,2,219.5,110,108.5,,
NBA 2018-2019 Regular Season,21800027,10/20/18,Washington,H,22,32,28,31,,,,,,113,240,37,89,13,39,26,32,9,28,37,20,27,11,11,11,9,113,102,102,110.7,114.7,1,Otto Porter Jr.,Markieff Morris,Ian Mahinmi,Bradley Beal,John Wall,,James Williams,216.5,1,216.5,-3,-13,-1.5,-2,-2,219.5,-130,-1.5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800028,10/20/18,Boston,R,31,19,27,26,,,,,,103,240,33,82,9,25,28,33,11,36,47,21,26,8,15,15,2,103,99.3,99.3,103.7,101.7,B2B,Al Horford,Jayson Tatum,Aron Baynes,Jaylen Brown,Kyrie Irving,JB DeRosa,Nick Buchert,-8,-8,211.5,-14.5,-9, -9 -15,-9.5,-9.5,210.5,-500,-6.5,,
NBA 2018-2019 Regular Season,21800028,10/20/18,New York,H,18,30,22,31,,,,,,101,240,36,87,12,35,17,27,11,35,46,23,25,8,16,16,1,101,99.3,99.3,101.7,103.7,3IN4-B2B,Frank Ntilikina,Lance Thomas,Enes Kanter,Trey Burke,Tim Hardaway Jr.,,Sean Wright,211.5,8,211.5,210.5o11,210.5,209,210.5,9.5,210.5,384,109,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800029,10/20/18,Orlando,R,32,20,34,29,,,,,,115,240,41,90,16,29,17,22,14,35,49,31,15,7,14,16,7,115,96.5,96.5,119.2,120.2,3IN4-B2B,Aaron Gordon,Jonathan Isaac,Nikola Vucevic,Evan Fournier,D.J. Augustin,Tony Brothers,Marat Kogut,217,11.5,217,217,217o21 ,218,217.5,12.5,217.5,797,106.5,,
NBA 2018-2019 Regular Season,21800029,10/20/18,Philadelphia,H,30,33,26,27,,,,,,116,240,45,94,17,33,9,10,13,33,46,33,21,8,10,10,3,116,96.5,96.5,120.2,119.2,1,Robert Covington,Dario Saric,Joel Embiid,Markelle Fultz,Ben Simmons,,Eric Dalen,-11.5,-11.5,217,-27.5,-13, -13 -05,-12.5,-12.5,217.5,-1300,-4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800030,10/20/18,Charlotte,R,34,38,20,21,,,,,,113,240,41,93,16,42,15,23,12,28,40,23,27,6,11,12,12,113,100.5,100.5,112.5,111.5,3IN4-B2B,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,Scott Wall,J.T. Orr,216.5,5,216.5,220,220u11 ,220,220.5,3.5,220.5,135,112,,
NBA 2018-2019 Regular Season,21800030,10/20/18,Miami,H,29,23,30,30,,,,,,112,240,41,89,11,34,19,27,12,37,49,21,27,4,15,16,11,112,100.5,100.5,111.5,112.5,3IN4,Rodney McGruder,Derrick Jones Jr.,Hassan Whiteside,Josh Richardson,Goran Dragic,,Kane Fitzgerald,-5,-5,216.5,-3.5,-8,-3.5,-8.5,-3.5,220.5,-155,-12,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800031,10/20/18,Detroit,R,25,35,25,33,,,,,,118,240,41,101,18,40,18,23,18,31,49,21,23,4,9,10,4,118,100.4,100.4,117.5,115.5,2,Stanley Johnson,Blake Griffin,Andre Drummond,Reggie Bullock,Reggie Jackson,Mark Ayotte,Aaron Smith,-2.5,-2.5,214,-19,-24,-4.5,-10,-5,217,-200,-2.5,,
NBA 2018-2019 Regular Season,21800031,10/20/18,Chicago,H,27,31,26,32,,,,,,116,240,44,87,7,21,21,26,5,36,41,26,20,4,11,11,3,116,100.4,100.4,115.5,117.5,1,Justin Holiday,Bobby Portis,Wendell Carter Jr.,Zach LaVine,Cameron Payne,,Josh Tiven,214,2.5,214,214.5o27,215.5,216.5,217,5,217,170,106.5u15,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800032,10/20/18,Minnesota,R,46,23,30,37,,,,,,136,240,44,84,14,27,34,40,6,27,33,23,30,10,17,17,3,136,109,109,124.7,128.4,3IN4-B2B,Andrew Wiggins,Taj Gibson,Karl-Anthony Towns,Josh Okogie,Jeff Teague,Zach Zarba,Tyler Ford,-2.5,-2.5,216,219.5,220.5,220,220.5,2,220.5,110,110,,
NBA 2018-2019 Regular Season,21800032,10/20/18,Dallas,H,37,32,28,43,,,,,,140,240,49,98,17,50,25,34,15,27,42,29,28,8,16,16,8,140,109,109,128.4,124.7,2,Dorian Finney-Smith,Luka Doncic,DeAndre Jordan,Wesley Matthews,Dennis Smith Jr.,,Haywoode Workman,216,2.5,216,-6,-7,-1.5,-2,-2,220.5,-130,-6,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800033,10/20/18,Phoenix,R,16,33,30,12,,,,,,91,240,29,77,11,39,22,35,10,30,40,20,26,6,19,19,4,91,102.4,102.4,88.8,116.2,2,Trevor Ariza,Ryan Anderson,Deandre Ayton,Devin Booker,Isaiah Canaan,Tom Washington,Jacyn Goble,223,9,223,224,224o16 ,225,224.5,10.5,224.5,459,110.5,,
NBA 2018-2019 Regular Season,21800033,10/20/18,Denver,H,30,35,27,27,,,,,,119,240,43,85,9,28,24,29,9,45,54,28,31,12,18,18,6,119,102.4,102.4,116.2,88.8,2,Will Barton,Paul Millsap,Nikola Jokic,Gary Harris,Jamal Murray,,Brian Forte,-9,-9,223,-24.5,-25.5,-10,-25.5,-10.5,224.5,-620,-1 EVEN,BOX SCORE,ODDS
