DATASET,GAME_ID,DATE,TEAM,VENUE,Q1,Q2,Q3,Q4,OT1,OT2,OT3,OT4,OT5,F,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,"TO
TO",BL,PTS,POSS,PACE,OEFF,DEFF,"TEAM
REST DAYS",STARTING LINEUPS,,,,,MAIN REF,CREW,OPENING ODDS,OPENING SPREAD,OPENING TOTAL,"LINE 
MOVEMENT #1","LINE 
MOVEMENT #2","LINE 
MOVEMENT #3","CLOSING
ODDS",CLOSING SPREAD,CLOSING TOTAL,MONEYLINE,HALFTIME,"BOX SCORE
URL","ODDS
URL"
NBA 2018-2019 Regular Season,21800001,10/16/18,Philadelphia,R,21,21,24,21,,,,,,87,240,34,87,5,26,14,23,6,41,47,18,20,8,16,16,5,87,104.8,104.8,83,100.2,3+,Dario Saric,Robert Covington,Joel Embiid,Markelle Fultz,Ben Simmons,Scott Foster,Dedric Taylor,208.5,5,208.5,211,210.5,211,211.5,4.5,211.5,170,106,,
NBA 2018-2019 Regular Season,21800001,10/16/18,Boston,H,21,26,30,28,,,,,,105,240,42,97,11,37,10,14,12,43,55,21,20,7,14,15,5,105,104.8,104.8,100.2,83,3+,Jayson Tatum,Gordon Hayward,Al Horford,Jaylen Brown,Kyrie Irving,,Ron Garretson,-5,-5,208.5,-5,-4.5, -4.5 -05,-7.5,-4.5,211.5,-200,5,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800002,10/16/18,Oklahoma City,R,23,24,32,21,,,,,,100,240,33,91,10,37,24,37,16,29,45,21,21,12,14,15,6,100,102.8,102.8,97.3,105,3+,Paul George,Patrick Patterson,Steven Adams,Terrance Ferguson,Dennis Schroder,Zach Zarba,Gediminas Petraitis,223.5,11.5,223.5,219,219.5, 220.5o19,220.5,12,220.5,711,108.5,,
NBA 2018-2019 Regular Season,21800002,10/16/18,Golden State,H,31,26,26,25,,,,,,108,240,42,95,7,26,17,18,17,41,58,28,29,7,21,21,7,108,102.8,102.8,105,97.3,3+,Kevin Durant,Draymond Green,Damian Jones,Klay Thompson,Stephen Curry,,Brian Forte,-11.5,-11.5,223.5,-17.5,-12, -12 -13,-27,-12,220.5,-1100,10,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800003,10/17/18,Milwaukee,R,36,31,26,20,,,,,,113,240,42,85,14,34,15,20,11,46,57,26,25,5,21,21,4,113,102.6,102.6,110.2,109.2,3+,Khris Middleton,Giannis Antetokounmpo,Brook Lopez,Malcolm Brogdon,Eric Bledsoe,Sean Corbin,Leroy Richardson,-1.5,-1.5,217,-8,-10, -3 -05,-18,-3,222,-165,2.5,,
NBA 2018-2019 Regular Season,21800003,10/17/18,Charlotte,H,23,31,29,29,,,,,,112,240,41,92,16,38,14,22,9,32,41,21,19,8,11,11,9,112,102.6,102.6,109.2,110.2,3+,Nicolas Batum,Marvin Williams,Cody Zeller,Jeremy Lamb,Kemba Walker,,Scott Foster,217,1.5,217,222.5,222.5u11 ,222.5,222,3,222,144,114,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800004,10/17/18,Brooklyn,R,29,22,25,24,,,,,,100,240,40,82,5,27,15,22,5,34,39,28,23,9,17,19,5,100,102.5,102.5,97.6,100.5,3+,Joe Harris,Jared Dudley,Jarrett Allen,Caris LeVert,D'Angelo Russell,Rodney Mott,Karl Lane,212,4.5,212,212,213, 213u11,213,6,213,211,110.5,,
NBA 2018-2019 Regular Season,21800004,10/17/18,Detroit,H,24,27,32,20,,,,,,103,240,39,92,6,24,19,22,14,32,46,21,20,5,14,17,5,103,102.5,102.5,100.5,97.6,3+,Luke Kennard,Blake Griffin,Andre Drummond,Bruce Brown,Reggie Jackson,,Eric Dalen,-4.5,-4.5,212,-20.5,-6, -6 -15,-6,-6,213,-255,-4,BOX SCORE,ODDS
NBA 2018-2019 Regular Season,21800005,10/17/18,Memphis,R,16,23,19,25,,,,,,83,240,25,84,10,29,23,28,7,21,28,16,18,11,7,10,3,83,95,95,87.4,116.8,3+,Chandler Parsons,JaMychal Green,Marc Gasol,Garrett Temple,Mike Conley,Tony Brothers,Justin Van Duyne,209o05,7,209,207u21,205.5,205,204.5,7.5,204.5,263,99,,
NBA 2018-2019 Regular Season,21800005,10/17/18,Indiana,H,27,29,20,35,,,,,,111,240,47,83,10,26,7,13,13,44,57,29,24,2,20,20,7,111,95,95,116.8,87.4,3+,Bojan Bogdanovic,Thaddeus Young,Myles Turner,Victor Oladipo,Darren Collison,,Ben Taylor,-7,-7,209,-22,-7.5, -7.5 -15,-7.5,-7.5,204.5,-325,1,BOX SCORE,ODDS
