season_end,team,wins,losses,pct,champ
2012,Los Angeles Clippers,40,26,0.61,0
2012,Los Angeles Lakers,41,25,0.62,0
2012,Memphis Grizzlies,41,25,0.62,0
2012,Miami Heat,46,20,0.70,1
2012,Milwaukee Bucks,31,35,0.47,0
2012,Minnesota Timberwolves,26,40,0.39,0
2012,New Jersey Nets,22,44,0.33,0
2012,New Orleans Hornets,21,45,0.32,0
2012,New York Knicks,36,30,0.55,0
2012,Oklahoma City Thunder,47,19,0.71,0
2012,Orlando Magic,37,29,0.56,0
2012,Philadelphia 76ers,35,31,0.53,0
2012,Phoenix Suns,33,33,0.50,0
2012,Portland Trail Blazers,28,38,0.42,0
2012,Sacramento Kings,22,44,0.33,0
2012,San Antonio Spurs,50,16,0.76,0
2012,Toronto Raptors,23,43,0.35,0
2012,Utah Jazz,36,30,0.55,0
2012,Washington Wizards,20,46,0.30,0
2013,Atlanta Hawks,44,38,0.54,0
2013,Boston Celtics,41,41,0.50,0
2013,Brooklyn Nets,49,33,0.60,0
2013,Charlotte Bobcats,21,61,0.26,0
2013,Chicago Bulls,45,37,0.55,0
2013,Cleveland Cavaliers,24,58,0.29,0
2013,Dallas Mavericks,41,41,0.50,0
2013,Denver Nuggets,57,25,0.70,0
2013,Detroit Pistons,29,53,0.35,0
2013,Golden State Warriors,47,35,0.57,0
2013,Houston Rockets,45,37,0.55,0
2013,Indiana Pacers,49,33,0.60,0
2013,Los Angeles Clippers,56,26,0.68,0
2013,Los Angeles Lakers,45,37,0.55,0
2013,Memphis Grizzlies,56,26,0.68,0
2013,Miami Heat,66,16,0.80,1
2013,Milwaukee Bucks,38,44,0.46,0
2013,Minnesota Timberwolves,31,51,0.38,0
2013,New Orleans Hornets,27,55,0.33,0
2013,New York Knicks,54,28,0.66,0
2013,Oklahoma City Thunder,60,22,0.73,0
2013,Orlando Magic,20,62,0.24,0
2013,Philadelphia 76ers,34,48,0.41,0
2013,Phoenix Suns,25,57,0.30,0
2013,Portland Trail Blazers,33,49,0.40,0
2013,Sacramento Kings,28,54,0.34,0
2013,San Antonio Spurs,58,24,0.71,0
2013,Toronto Raptors,34,48,0.41,0
2013,Utah Jazz,43,39,0.52,0
2013,Washington Wizards,29,53,0.35,0
2014,Atlanta Hawks,38,44,0.46,0
2014,Boston Celtics,25,57,0.30,0
2014,Brooklyn Nets,44,38,0.54,0
2014,Charlotte Bobcats,43,39,0.52,0
2014,Chicago Bulls,48,34,0.59,0
2014,Cleveland Cavaliers,33,49,0.40,0
2014,Dallas Mavericks,49,33,0.60,0
2014,Denver Nuggets,36,46,0.44,0
2014,Detroit Pistons,29,53,0.35,0
2014,Golden State Warriors,51,31,0.62,0
2014,Houston Rockets,54,28,0.66,0
2014,Indiana Pacers,56,26,0.68,0
2014,Los Angeles Clippers,57,25,0.70,0
2014,Los Angeles Lakers,27,55,0.33,0
2014,Memphis Grizzlies,50,32,0.61,0
2014,Miami Heat,54,28,0.66,0
2014,Milwaukee Bucks,15,67,0.18,0
2014,Minnesota Timberwolves,40,42,0.49,0
2014,New Orleans Pelicans,34,48,0.41,0
2014,New York Knicks,37,45,0.45,0
2014,Oklahoma City Thunder,59,23,0.72,0
2014,Orlando Magic,23,59,0.28,0
2014,Philadelphia 76ers,19,63,0.23,0
2014,Phoenix Suns,48,34,0.59,0
2014,Portland Trail Blazers,54,28,0.66,0
2014,Sacramento Kings,28,54,0.34,1
2014,San Antonio Spurs,62,20,0.76,0
2014,Toronto Raptors,48,34,0.59,0
2014,Utah Jazz,25,57,0.30,0
2014,Washington Wizards,44,38,0.54,0
2015,Atlanta Hawks,60,22,0.73,0
2015,Boston Celtics,40,42,0.49,0
2015,Brooklyn Nets,38,44,0.46,0
2015,Charlotte Hornets,33,49,0.40,0
2015,Chicago Bulls,50,32,0.61,0
2015,Cleveland Cavaliers,53,29,0.65,0
2015,Dallas Mavericks,50,32,0.61,0
2015,Denver Nuggets,30,52,0.37,0
2015,Detroit Pistons,32,50,0.39,0
2015,Golden State Warriors,67,15,0.82,1
2015,Houston Rockets,56,26,0.68,0
2015,Indiana Pacers,38,44,0.46,0
2015,Los Angeles Clippers,56,26,0.68,0
2015,Los Angeles Lakers,21,61,0.26,0
2015,Memphis Grizzlies,55,27,0.67,0
2015,Miami Heat,37,45,0.45,0
2015,Milwaukee Bucks,41,41,0.50,0
2015,Minnesota Timberwolves,16,66,0.20,0
2015,New Orleans Pelicans,45,37,0.55,0
2015,New York Knicks,17,65,0.21,0
2015,Oklahoma City Thunder,45,37,0.55,0
2015,Orlando Magic,25,57,0.30,0
2015,Philadelphia 76ers,18,64,0.22,0
2015,Phoenix Suns,39,43,0.48,0
2015,Portland Trail Blazers,51,31,0.62,0
2015,Sacramento Kings,29,53,0.35,0
2015,San Antonio Spurs,55,27,0.67,0
2015,Toronto Raptors,49,33,0.60,0
2015,Utah Jazz,38,44,0.46,0
2015,Washington Wizards,46,36,0.56,0
2016,Atlanta Hawks,48,34,0.59,0
2016,Boston Celtics,48,34,0.59,0
2016,Brooklyn Nets,21,61,0.26,0
2016,Charlotte Hornets,48,34,0.59,0
2016,Chicago Bulls,42,40,0.51,0
2016,Cleveland Cavaliers,57,25,0.70,1
2016,Dallas Mavericks,42,40,0.51,0
2016,Denver Nuggets,33,49,0.40,0
2016,Detroit Pistons,44,38,0.54,0
2016,Golden State Warriors,73,9,0.89,0
2016,Houston Rockets,41,41,0.50,0
2016,Indiana Pacers,45,37,0.55,0
2016,Los Angeles Clippers,53,29,0.65,0
2016,Los Angeles Lakers,17,65,0.21,0
2016,Memphis Grizzlies,42,40,0.51,0
2016,Miami Heat,48,34,0.59,0
2016,Milwaukee Bucks,33,49,0.40,0
2016,Minnesota Timberwolves,29,53,0.35,0
2016,New Orleans Pelicans,30,52,0.37,0
2016,New York Knicks,32,50,0.39,0
2016,Oklahoma City Thunder,55,27,0.67,0
2016,Orlando Magic,35,47,0.43,0
2016,Philadelphia 76ers,10,72,0.12,0
2016,Phoenix Suns,23,59,0.28,0
2016,Portland Trail Blazers,44,38,0.54,0
2016,Sacramento Kings,33,49,0.40,0
2016,San Antonio Spurs,67,15,0.82,0
2016,Toronto Raptors,56,26,0.68,0
2016,Utah Jazz,40,42,0.49,0
2016,Washington Wizards,41,41,0.50,0
2017,Atlanta Hawks,43,39,0.52,0
2017,Boston Celtics,53,29,0.65,0
2017,Brooklyn Nets,20,62,0.24,0
2017,Charlotte Hornets,36,46,0.44,0
2017,Chicago Bulls,41,41,0.50,0
2017,Cleveland Cavaliers,51,31,0.62,0
2017,Dallas Mavericks,33,49,0.40,0
2017,Denver Nuggets,40,42,0.49,0
2017,Detroit Pistons,37,45,0.45,0
2017,Golden State Warriors,67,15,0.82,1
2017,Houston Rockets,55,27,0.67,0
2017,Indiana Pacers,42,40,0.51,0
2017,Los Angeles Clippers,51,31,0.62,0
2017,Los Angeles Lakers,26,56,0.32,0
2017,Memphis Grizzlies,43,39,0.52,0
2017,Miami Heat,41,41,0.50,0
2017,Milwaukee Bucks,42,40,0.51,0
2017,Minnesota Timberwolves,31,51,0.38,0
2017,New Orleans Pelicans,34,48,0.41,0
2017,New York Knicks,31,51,0.38,0
2017,Oklahoma City Thunder,47,35,0.57,0
2017,Orlando Magic,29,53,0.35,0
2017,Philadelphia 76ers,28,54,0.34,0
2017,Phoenix Suns,24,58,0.29,0
2017,Portland Trail Blazers,41,41,0.50,0
2017,Sacramento Kings,32,50,0.39,0
2017,San Antonio Spurs,61,21,0.74,0
2017,Toronto Raptors,51,31,0.62,0
2017,Utah Jazz,51,31,0.62,0
2017,Washington Wizards,49,33,0.60,0
2018,Atlanta Hawks,24,58,0.29,0
2018,Boston Celtics,55,27,0.67,0
2018,Brooklyn Nets,28,54,0.34,0
2018,Charlotte Hornets,36,46,0.44,0
2018,Chicago Bulls,27,55,0.33,0
2018,Cleveland Cavaliers,50,32,0.61,0
2018,Dallas Mavericks,24,58,0.29,0
2018,Denver Nuggets,46,36,0.56,0
2018,Detroit Pistons,39,43,0.48,0
2018,Golden State Warriors,58,24,0.71,1
2018,Houston Rockets,65,17,0.79,0
2018,Indiana Pacers,48,34,0.59,0
2018,Los Angeles Clippers,42,40,0.51,0
2018,Los Angeles Lakers,35,47,0.43,0
2018,Memphis Grizzlies,22,60,0.27,0
2018,Miami Heat,44,38,0.54,0
2018,Milwaukee Bucks,44,38,0.54,0
2018,Minnesota Timberwolves,47,35,0.57,0
2018,New Orleans Pelicans,48,34,0.59,0
2018,New York Knicks,29,53,0.35,0
2018,Oklahoma City Thunder,48,34,0.59,0
2018,Orlando Magic,25,57,0.30,0
2018,Philadelphia 76ers,52,30,0.63,0
2018,Phoenix Suns,21,61,0.26,0
2018,Portland Trail Blazers,49,33,0.60,0
2018,Sacramento Kings,27,55,0.33,0
2018,San Antonio Spurs,47,35,0.57,0
2018,Toronto Raptors,59,23,0.72,0
2018,Utah Jazz,48,34,0.59,0
2018,Washington Wizards,43,39,0.52,0
