Team,2017s,2016s,2015s,2014s,2013s,2012s,2011s,2010s,2009s,2008s,2007s,2006s,2005s,2004s,2003s,2002s,2001s,2000s,2017sa,2016sa,2015sa,2014sa,2013sa,2012sa,2011sa,2010sa,2009sa,2008sa,2007sa,2006sa,2005sa,2004sa,2003sa,2002sa,2001sa,2000sa,2017w,2016w,2015w,2014w,2013w,2012w,2011w,2010w,2009w,2008w,2007w,2006w,2005w,2004w,2003w,2002w,2001w,2000w,2017pc,2016pc,2015pc,2014pc,2013pc,2012pc,2011pc,2010pc,2009pc,2008pc,2007pc,2006pc,2005pc,2004pc,2003pc,2002pc,2001pc,2000pc
Milwaukee Bucks,96142528,73820190,64064915,62060944,62476395,60192388,69076690,66775602,71360656,62571522,63498518,63022514,57448246,53229826,57995152,56224266,57819318,44680197,102872505,81202209,71112056,68887648,70598326,69221246,80819727,80798478,87773607,76337257,80643118,81929268,77555132,73989458,82933067,82087428,86150784,68360701,42,33,41,15,38,31,35,46,34,26,28,40,30,41,42,41,52,42,10,0,10,0,10,0,0,10,0,0,0,10,0,10,10,0,10,10
Minnesota Timberwolves,78322537,73934448,69322836,67626073,69001896,56844339,53461123,62253360,66445144,69043895,66820673,61830186,70123411,71272042,59518801,55093782,47488500,42642272,83805115,81327893,76948348,75064941,77972142,65370990,62549514,75326566,81727527,84233552,84862255,80379242,94666605,99068138,85111885,80436922,70757865,65242676,31,29,16,40,31,26,17,15,24,22,32,33,44,58,51,50,47,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10
New Orleans Pelicans,95036776,81652543,74407242,66356450,63901224,65441008,68230729,70163827,67530808,62609991,53748991,41277617,56572882,49800204,44458882,,,,101689350,89817797,82592039,73655660,72208383,75257159,79829953,84898231,83062894,76384189,68261219,53660902,76373391,69222284,63576201,,,,34,30,45,34,27,21,46,37,49,56,39,38,18,41,47,,,,0,0,10,0,0,0,10,0,10,10,0,0,0,10,10,,,
New York Knicks,103062240,74168903,81403346,89069657,79323074,77093212,67016562,85710076,96643646,96190114,117350866,126631098,102567539,89444820,93452379,85993039,74007738,72288001,110276597,81585793,90357714,98867319,89635074,88657194,78409378,103709192,118871685,117351939,149035600,164620427,138466178,124328300,133636902,125549837,110271530,110600642,31,32,17,37,54,36,42,29,32,23,33,23,33,39,37,30,48,50,0,0,0,0,10,10,10,0,0,0,0,0,0,10,0,0,10,10
Oklahoma City Thunder,84528917,93888376,80146722,71009755,67863244,59501709,55922488,58578614,68341605,60861388,56986831,49253379,53821301,52347476,53167479,45556733,51538658,38258910,90445941,103277214,88962861,78820828,76685466,68426965,65429311,70880123,84060174,74250893,72373275,64029393,72658756,72762992,76029495,66512830,76792600,58536132,47,55,45,59,60,47,55,50,23,20,31,35,52,37,40,45,44,45,10,10,0,10,10,10,10,10,0,0,0,0,10,0,0,10,0,10
Orlando Magic,105835222,63445957,59629211,79203238,87114818,87955505,90770804,82200916,69672979,58165973,61447108,75784782,66445249,50588419,50435346,45984001,37459860,41586801,113243688,69790553,66188424,87915594,98439744,101148831,106201841,99463108,85697764,70962487,78037827,98520217,89701086,70317902,72122545,67136641,55815191,63627806,29,35,25,23,20,37,52,59,59,52,40,36,36,21,42,44,43,41,0,0,0,0,0,10,10,10,10,10,10,0,0,0,0,10,10,0
Philadelphia 76ers,70265604,63526527,56219939,53308029,84032270,66672368,68915246,64883448,68301007,74038229,69140163,84807300,71951878,60411079,64822487,58073366,51085458,43890593,75184196,69879180,62404132,59171912,94956465,76673223,80630838,78508972,84010239,90326639,87808007,110249490,97135035,83971400,92696156,84787114,76117332,67152607,28,10,18,19,34,35,41,27,41,40,35,38,43,33,48,43,56,49,0,0,0,0,0,10,10,0,10,10,0,0,10,0,10,10,10,10
Phoenix Suns,73308325,70110834,69583765,62590529,60844774,80640576,65979054,65288544,76130408,71323049,65841120,53626924,44598682,66931770,55225080,56596369,53906347,46544037,78439908,77121917,77237979,69475487,68754595,92736662,77195493,78999138,93640402,87014120,83618222,69715001,60208221,93035160,78971864,82630699,80320457,71212377,24,23,39,48,25,33,40,54,46,55,61,54,62,29,44,36,51,53,0,0,0,0,0,0,0,10,0,10,10,10,10,0,10,0,10,10
Portland Trailblazers,112223450,62488858,86244174,80894044,74803194,80920717,74584058,56946258,80260059,73241335,75026386,60017964,83671309,82956768,105595657,84292850,87395140,73898705,120079092,68737744,95731033,89792389,84527609,93058825,87263348,68904972,98719873,89354429,95283510,78023353,112956267,115309908,151001790,123067561,130218759,113065019,41,44,51,54,33,28,48,50,54,41,32,21,27,41,50,49,50,59,10,10,10,10,0,0,10,10,10,0,0,0,0,0,10,10,10,10
Sacramento Kings,92991922,71683666,74441553,62880992,54317436,48950236,45268465,67515718,69204512,63403225,64296611,62811975,61807688,68372826,70416596,54921012,46266289,40113125,99501357,78852033,82630124,69797901,61378703,56292771,52964104,81694019,85121550,77351935,81656696,81655568,83440379,95038228,100695732,80184678,68936771,61373081,32,33,29,28,28,22,24,25,17,38,33,44,50,55,59,61,55,44,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10
San Antonio Spurs,107129207,87681690,70220367,63858408,69787704,73732762,69522311,79338309,68020487,70048523,65654320,63570274,47504123,46464064,53182559,45844814,57215938,42529801,114628251,96449859,77944607,70882833,78860106,84792676,81341104,95999354,83665199,85459198,83380986,82641356,64130566,64585049,76051059,66933428,85251748,65070596,61,67,55,62,58,50,61,50,54,56,58,63,59,57,60,58,58,53,10,10,10,11,10,10,10,10,10,10,11,10,11,10,11,10,10,10
Toronto Raptors,102827970,72143091,80806577,74211003,66974563,55063049,69992648,67822433,73446970,66042375,51015491,62411884,61703775,63033243,55408207,52657161,38313749,34730320,110025928,79357400,89695300,82374213,75681256,63322506,81891398,82065144,90339773,80571698,64789674,81135449,83300096,87616208,79233736,76879455,57087486,53137390,51,56,49,48,34,23,22,40,33,41,47,27,33,33,24,42,47,45,10,10,10,10,0,0,0,0,0,10,10,0,0,0,0,10,10,10
Utah Jazz,79898192,64024001,60272954,57039149,66954950,59339136,75855296,71905244,65841407,64959089,62364364,57372902,43515760,34747674,50934629,52642362,53893860,50348426,85491065,70426401,66902979,63313455,75659094,68240006,88750696,87005345,80984931,79250089,79202742,74584773,58746276,48299267,72836519,76857849,80301851,77033092,51,40,38,25,43,36,39,53,48,54,51,41,26,42,47,44,53,55,10,0,0,0,0,10,0,10,10,10,10,0,0,0,10,10,10,10
Washington Wizards,103620024,84466783,82999913,78883599,66343388,55386345,58324988,73440274,70743317,65278996,62733705,54555947,49797050,45682902,46691190,54776087,59085969,53194441,110873426,92913461,92129903,87560795,74968028,63694297,68240236,88862732,87014280,79640375,79671805,70922731,67226018,63499234,66768402,79973087,88038094,81387495,49,41,46,44,29,20,23,26,19,43,41,42,45,25,37,37,19,29,10,0,10,10,0,0,0,0,0,10,10,10,10,0,0,0,0,0
