"Rk","Year","Pk","Tm","Player","Age","Pos","Born","College","From","To","G","MP","WS","WS.48","Born2","College2","Pos2"
243,"2001",7,"NJN","Eddie Griffin",19.033,"F-C","us","Seton Hall","2002","2007",303,22.2,10.9,0.078,"USA","1","Big"
244,"2001",8,"CLE","DeSagana Diop",19.153,"C","sn","0","2002","2013",601,14,12.8,0.073,"World","0","Center"
245,"2001",9,"DET","Rodney White",21.004,"F","us","UNC Charlotte","2002","2005",218,15.4,1.8,0.026,"USA","1","Forward"
246,"2001",10,"BOS","Joe Johnson",20.003,"G-F","us","Arkansas","2002","2018",1276,34.7,82.8,0.09,"USA","1","Swingman"
247,"2001",11,"BOS","Kedrick Brown",20.106,"G","us","Okaloosa-Walton Community College","2002","2005",143,13.5,3,0.074,"USA","1","Guard"
248,"2001",12,"SEA","Vladimir Radmanovi_",20.225,"F","ba","0","2002","2013",737,21.9,26.5,0.079,"World","0","Forward"
249,"2001",13,"HOU","Richard Jefferson",21.011,"F","us","Arizona","2002","2018",1181,29,83,0.116,"USA","1","Forward"
250,"2001",14,"GSW","Troy Murphy",21.061,"F-C","us","Notre Dame","2002","2013",729,27.3,50.3,0.121,"USA","1","Big"
251,"2001",15,"ORL","Steven Hunter",19.244,"C","us","DePaul","2002","2010",400,15,10.6,0.085,"USA","1","Center"
252,"2001",16,"CHH","Kirk Haston",22.115,"F","us","Indiana","2002","2003",27,5,-0.5,-0.197,"USA","1","Forward"
253,"2001",17,"TOR","Michael Bradley",22.076,"F-C","us","Villanova","2002","2006",173,11.7,2,0.047,"USA","1","Big"
254,"2001",18,"HOU","Jason Collins",22.213,"C","us","Stanford","2002","2014",735,20.4,20.1,0.064,"USA","1","Center"
255,"2001",19,"POR","Zach Randolph",19.351,"F-C","us","Michigan State","2002","2018",1116,31,81.1,0.112,"USA","1","Big"
256,"2001",20,"CLE","Brendan Haywood",21.218,"C","us","UNC","2002","2015",816,22.9,43.8,0.113,"USA","1","Center"
257,"2001",21,"BOS","Joseph Forte",20.101,"G","us","UNC","2002","2003",25,5,-0.4,-0.166,"USA","1","Guard"
258,"2001",22,"ORL","Jeryl Sasser",22.14,"G","us","SMU","2002","2003",82,12.9,0.7,0.032,"USA","1","Guard"
259,"2001",23,"HOU","Brandon Armstrong",21.016,"G","us","Pepperdine","2002","2004",108,6.5,-0.6,-0.039,"USA","1","Guard"
260,"2001",24,"UTA","Raül López",21.078,"G","es","0","2004","2005",113,18.9,2.1,0.047,"World","0","Guard"
261,"2001",25,"SAC","Gerald Wallace",18.344,"F","us","Alabama","2002","2015",832,29.7,59.7,0.116,"USA","1","Forward"
262,"2001",26,"PHI","Samuel Dalembert",20.053,"C","ht","Seton Hall","2002","2015",886,24.4,51.3,0.114,"World","1","Center"
263,"2001",27,"MEM","Jamaal Tinsley",23.125,"G","us","Iowa State","2002","2014",547,26.4,17.2,0.057,"USA","1","Guard"
264,"2001",28,"SAS","Tony Parker",19.046,"G","be","0","2002","2019",1254,30.5,111.3,0.14,"World","0","Guard"
265,"2000",1,"NJN","Kenyon Martin",22.186,"F","us","Cincinnati","2001","2015",757,30.6,48,0.1,"USA","1","Forward"
266,"2000",2,"VAN","Stromile Swift",20.225,"F","us","LSU","2001","2009",547,19.8,21.3,0.095,"USA","1","Forward"
267,"2000",3,"LAC","Darius Miles",18.267,"F","us","0","2001","2009",446,26.3,9.5,0.039,"USA","0","Forward"
268,"2000",4,"CHI","Marcus Fizer",21.328,"F","us","Iowa State","2001","2006",289,20.9,2.7,0.022,"USA","1","Forward"
269,"2000",5,"ORL","Mike Miller",20.135,"F-G","us","Florida","2001","2017",1032,26.9,60.7,0.105,"USA","1","Swingman"
270,"2000",6,"ATL","DerMarr Johnson",20.059,"F","us","Cincinnati","2001","2008",344,17.2,6.4,0.052,"USA","1","Forward"
271,"2000",7,"CHI","Chris Mihm",20.353,"C","us","Texas","2001","2009",436,20.1,13.3,0.073,"USA","1","Center"
272,"2000",8,"CLE","Jamal Crawford",20.105,"G","us","Michigan","2001","2019",1326,29.4,60.6,0.075,"USA","1","Guard"
273,"2000",9,"HOU","Joel Przybilla",20.267,"C","us","Minnesota","2001","2013",592,19.8,23,0.094,"USA","1","Center"
274,"2000",10,"ORL","Keyon Dooling",20.056,"G","us","Missouri","2001","2013",728,19.4,18.5,0.063,"USA","1","Guard"
275,"2000",11,"BOS","Jérôme Moïso",22.019,"F-C","fr","UCLA","2001","2005",145,9.6,2.1,0.074,"World","1","Big"
276,"2000",12,"DAL","Etan Thomas",22.094,"F","us","Syracuse","2002","2011",409,17.3,14.9,0.101,"USA","1","Forward"
277,"2000",13,"ORL","Courtney Alexander",23.068,"G","us","Fresno State","2001","2003",187,21.7,4.1,0.048,"USA","1","Guard"
278,"2000",14,"DET","Mateen Cleaves",22.3,"G","us","Michigan State","2001","2006",167,11.2,-0.8,-0.021,"USA","1","Guard"
279,"2000",15,"MIL","Jason Collier",22.299,"C","us","Georgia Tech","2001","2005",151,14.4,1.9,0.042,"USA","1","Center"
280,"2000",16,"SAC","Hedo Türko_lu",21.107,"F","tr","","2001","2015",997,26.8,63.3,0.114,"World","1","Forward"
281,"2000",17,"SEA","Desmond Mason",22.266,"F","us","Oklahoma State","2001","2010",643,30.5,23.1,0.056,"USA","1","Forward"
282,"2000",18,"LAC","Quentin Richardson",20.081,"G","us","DePaul","2001","2013",783,26.5,32.8,0.076,"USA","1","Guard"
283,"2000",19,"CHH","Jamaal Magloire",22.044,"C","ca","Kentucky","2001","2012",680,21.5,27.7,0.091,"World","1","Center"
284,"2000",20,"PHI","Speedy Claxton",22.057,"G","us","Hofstra","2002","2009",334,25.6,14.2,0.08,"USA","1","Guard"
285,"2000",21,"TOR","Morris Peterson",22.312,"F","us","Michigan State","2001","2011",711,27.2,35.7,0.089,"USA","1","Forward"
286,"2000",22,"NYK","Donnell Harvey",19.311,"F","us","Florida","2001","2005",205,16.2,4.7,0.069,"USA","1","Forward"
287,"2000",23,"UTA","DeShawn Stevenson",19.091,"G","us","0","2001","2013",824,22.3,12.1,0.032,"USA","0","Guard"
288,"2000",24,"CHI","Dalibor Bagari_",20.147,"C","de","0","2001","2003",95,10.2,-0.9,-0.043,"World","0","Center"
289,"2000",25,"PHO","Jake Tsakalidis",21.024,"C","ge","0","2001","2007",315,15.9,9.9,0.095,"World","0","Center"
290,"2000",26,"DEN","Mamadou N'Diaye",25.019,"C","sn","Auburn","2001","2005",69,12.4,1.8,0.101,"World","1","Center"
291,"2000",27,"IND","Primo_ Brezec",20.275,"C","si","0","2002","2010",342,18.1,10.8,0.084,"World","0","Center"
292,"2000",28,"POR","Erick Barkley",22.133,"G","us","St. John's","2001","2002",27,9.9,0.2,0.027,"USA","1","Guard"
293,"2000",29,"LAL","Mark Madsen",24.158,"F","us","Stanford","2001","2009",453,11.8,8.2,0.074,"USA","1","Forward"
