team,season,team_season,screen_assists,screen_assists_pts,deflections,off_loose_balls,def_loose_balls,loose_balls,charges,contested_2pt,contested_3pt,contested_shots,wins
Miami Heat,2017-18,MIA 18,11.4,26.3,14.4,3.8,5,8.8,0.5,42.6,22,64.6,44
Milwaukee Bucks,2017-18,MIL 18,8.5,18.5,15.7,3.6,5.2,8.7,0.4,39.8,22.1,61.9,44
Minnesota Timberwolves,2017-18,MIN 18,8.2,17.9,15.1,3.5,5.4,8.9,0.7,38.1,24.3,62.4,47
New Orleans Pelicans,2017-18,NOP 18,8.9,20,14.6,3.8,5.5,9.3,0.6,41.4,23.3,64.7,48
New York Knicks,2017-18,NYK 18,8.9,19.7,12.8,3.1,4.5,7.7,0.4,37.6,22.7,60.3,29
Oklahoma City Thunder,2017-18,OKC 18,9.6,22.1,16.8,4.1,5.5,9.6,0.5,37.8,24.1,62,48
Orlando Magic,2017-18,ORL 18,9.2,20.5,13.8,3,4.5,7.6,0.7,38.1,19.3,57.4,25
Philadelphia 76ers,2017-18,PHI 18,9.8,22.1,15.6,4.3,5,9.3,0.5,40.4,22.8,63.2,52
Phoenix Suns,2017-18,PHO 18,10.7,24.4,12.6,3.4,4.5,7.8,0.3,41.6,22.1,63.8,21
Portland Trail Blazers,2017-18,POR 18,11.6,27.2,12.6,3.5,5,8.5,0.2,43.6,19.7,63.3,49
Sacramento Kings,2017-18,SAC 18,9.2,20.8,14,3.5,4.8,8.3,0.2,36.2,25.7,61.9,27
San Antonio Spurs,2017-18,SAS 18,8.2,18.3,14.4,3.5,4.6,8.1,0.5,44.1,20.2,64.4,47
Toronto Raptors,2017-18,TOR 18,9.4,21.9,14.8,3.5,4.8,8.4,0.8,44.9,19.4,64.3,59
Utah Jazz,2017-18,UTA 18,10.5,24.4,15.1,3.1,4.9,8,0.3,41.2,21.4,62.6,48
Washington Wizards,2017-18,WAS 18,10.6,23.9,14.9,3.1,4.9,8,0.8,37,21.5,58.6,43
Atlanta Hawks,2016-17,ATL 17,10.8,23.8,16.8,0,0,6.7,1,40.5,23.9,64.3,43
Boston Celtics,2016-17,BOS 17,10,23.5,15.4,0,0,7.5,0.8,40.5,22.8,63.2,53
Brooklyn Nets,2016-17,BKN 17,7.8,18,14.4,0,0,7.1,0.6,49.1,22.4,71.5,20
Charlotte Hornets,2016-17,CHA 17,13.1,30.3,13.8,0,0,6.5,0.7,42.5,25.5,68,36
Chicago Bulls,2016-17,CHI 17,8.2,17.8,14.9,0,0,7.2,0.4,44.7,20.6,65.3,41
Cleveland Cavaliers,2016-17,CLE 17,10.4,24.4,13.8,0,0,6.5,0.5,39.3,21.8,61.2,51
Dallas Mavericks,2016-17,DAL 17,10.2,23.9,15.4,0,0,6.5,1.1,37.9,21,58.9,33
Denver Nuggets,2016-17,DEN 17,8.8,20.1,13.7,0,0,6.5,0.5,41.9,21,63,40
Detroit Pistons,2016-17,DET 17,11.4,24.8,13.9,0,0,6.2,0.5,40.3,19.9,60.3,37
Golden State Warriors,2016-17,GSW 17,12.8,29.9,18.7,0,0,7.7,0.4,46,22.4,68.4,67
Houston Rockets,2016-17,HOU 17,8.7,20.8,15.7,0,0,7.7,1.1,40.3,23.3,63.6,55
Indiana Pacers,2016-17,IND 17,10.1,23,16.4,0,0,7.3,0.8,38.8,24.2,63,42
Los Angeles Clippers,2016-17,LAC 17,11.3,25.6,15.3,0,0,6.9,0.7,37.2,18.1,55.3,51
Los Angeles Lakers,2016-17,LAL 17,11.1,26,15.9,0,0,7.3,0.3,42.4,22.8,65.2,26
Memphis Grizzlies,2016-17,MEM 17,8.2,19.5,16.1,0,0,7.3,0.6,36,23.6,59.6,43
Miami Heat,2016-17,MIA 17,10.1,22.3,14.2,0,0,7.2,0.4,45.5,19.3,64.7,41
Milwaukee Bucks,2016-17,MIL 17,7.8,17.3,15.7,0,0,7.1,0.5,39.6,24.2,63.8,42
Minnesota Timberwolves,2016-17,MIN 17,8.9,19.8,16.1,0,0,7.2,0.5,41,22.9,63.9,31
New Orleans Pelicans,2016-17,NOP 17,8.5,19.3,16.4,0,0,6.9,0.6,42.3,24.7,67,34
New York Knicks,2016-17,NYK 17,9.5,20.6,14.7,0,0,7.5,0.2,41.3,22.4,63.7,31
Oklahoma City Thunder,2016-17,OKC 17,8.1,18,15.1,0,0,7,0.4,45.7,20.5,66.2,47
Orlando Magic,2016-17,ORL 17,10,22.7,14.7,0,0,7.2,0.4,40.6,20.4,60.9,29
Philadelphia 76ers,2016-17,PHI 17,7.4,16.9,17.8,0,0,7.6,0.6,42.8,19.5,62.3,28
Phoenix Suns,2016-17,PHO 17,10.5,22.8,15.6,0,0,6.9,0.6,41.5,19.6,61.1,24
Portland Trail Blazers,2016-17,POR 17,12.7,28.7,14.3,0,0,7,0.4,47,20.4,67.3,41
Sacramento Kings,2016-17,SAC 17,7.8,17.3,16,0,0,7.1,0.5,37.7,23.9,61.6,32
San Antonio Spurs,2016-17,SAS 17,9.3,20.7,15.8,0,0,6.7,0.5,45.4,19,64.3,61
Toronto Raptors,2016-17,TOR 17,12.1,26.2,17,0,0,7.1,0.5,41.7,22.2,63.8,51
Utah Jazz,2016-17,UTA 17,11.7,26.9,13.4,0,0,6.5,0.2,42.8,19,61.8,51
Washington Wizards,2016-17,WAS 17,11.7,25.7,18.5,0,0,7.9,0.6,40.7,21.3,62,49
