Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
147,2005,NBA,1,27,POR,Linas Kleiza,20.181,F,lt,Missouri,2006,2013,409,20,8.7,3.6,0.8,0.4,0.2,0.435,0.501,0.335,0.763,13.6,0.08
148,2005,NBA,1,28,SAS,Ian Mahinmi,18.24,C,fr,NA,2008,2020,618,16.8,5.2,4.4,0.6,0.6,0.7,0.533,0.541,0.16,0.612,26,0.121
149,2005,NBA,1,29,MIA,Wayne Simien,22.117,F,us,Kansas,2006,2007,51,9.9,3.3,1.9,0.2,0.3,0,0.469,0.469,,0.854,0.9,0.083
150,2005,NBA,1,30,NYK,David Lee,22.066,F,us,Florida,2006,2017,829,29.3,13.5,8.8,2.2,0.8,0.4,0.535,0.537,0.034,0.772,76,0.15
151,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,us,NA,2005,2020,1106,33.6,16.8,12.3,1.4,0.9,1.9,0.586,0.589,0.132,0.565,133.9,0.173
152,2004,NBA,1,2,CHA,Emeka Okafor,21.275,C-F,us,UConn,2005,2018,616,30.9,12,9.7,0.8,0.7,1.6,0.512,0.512,0,0.586,45.3,0.114
153,2004,NBA,1,3,CHI,Ben Gordon,21.087,G,gb,UConn,2005,2015,744,27.4,14.9,2.5,2.5,0.7,0.2,0.432,0.447,0.401,0.857,33.3,0.078
154,2004,NBA,1,4,LAC,Shaun Livingston,18.291,G,us,NA,2005,2019,833,20.6,6.3,2.4,3,0.7,0.4,0.486,0.491,0.178,0.794,29.9,0.084
155,2004,NBA,1,5,WAS,Devin Harris,21.123,G,us,Wisconsin,2005,2019,985,24.3,10.8,2.2,3.9,1,0.2,0.432,0.481,0.325,0.796,54.9,0.11
156,2004,NBA,1,6,ATL,Josh Childress,21.01,G-F,us,Stanford,2005,2014,391,26.7,9.1,4.7,1.6,0.9,0.5,0.522,0.548,0.329,0.779,25.7,0.118
157,2004,NBA,1,7,PHO,Luol Deng,19.074,F,ss,Duke,2005,2019,902,34.3,14.8,6.1,2.3,1,0.5,0.456,0.482,0.332,0.769,74,0.115
158,2004,NBA,1,8,TOR,Rafael Araújo,23.322,C,br,BYU,2005,2007,139,11.4,2.8,2.8,0.3,0.4,0.1,0.405,0.407,0.25,0.679,-0.4,-0.013
159,2004,NBA,1,9,PHI,Andre Iguodala,20.153,G-F,us,Arizona,2005,2020,1122,33.2,12,5.1,4.3,1.5,0.5,0.466,0.519,0.334,0.709,96.8,0.125
160,2004,NBA,1,10,CLE,Luke Jackson,22.236,F,us,Oregon,2005,2008,73,9.9,3.5,1.2,0.8,0.3,0,0.357,0.356,0.36,0.732,0.2,0.01
161,2004,NBA,1,11,GSW,Andris Biedri__,18.088,C,lv,NA,2005,2014,516,21.6,6.3,7,0.9,0.6,1.1,0.594,0.595,0,0.5,30.7,0.132
162,2004,NBA,1,12,SEA,Robert Swift,18.208,C,us,NA,2005,2009,97,15.5,4.3,3.9,0.2,0.3,0.9,0.506,0.506,,0.61,1.7,0.054
163,2004,NBA,1,13,POR,Sebastian Telfair,19.02,G,us,NA,2005,2015,564,21.5,7.4,1.6,3.5,0.7,0.1,0.39,0.419,0.319,0.777,5,0.02
164,2004,NBA,1,14,UTA,Kris Humphries,19.143,F-C,us,Minnesota,2005,2017,800,17.8,6.7,5.4,0.7,0.4,0.6,0.463,0.471,0.293,0.7,30.3,0.102
165,2004,NBA,1,15,BOS,Al Jefferson,19.176,C-F,us,NA,2005,2018,915,28.7,15.7,8.4,1.5,0.7,1.2,0.499,0.501,0.121,0.711,71,0.13
166,2004,NBA,1,16,UTA,Kirk Snyder,21.025,G,us,Nevada,2005,2008,211,16.8,6.3,2.3,1.1,0.4,0.3,0.438,0.475,0.327,0.699,4.5,0.061
167,2004,NBA,1,17,ATL,Josh Smith,18.206,F,us,NA,2005,2018,894,32.4,14.5,7.4,3.1,1.2,1.9,0.452,0.48,0.285,0.632,51,0.084
168,2004,NBA,1,18,NOH,J.R. Smith,18.293,G-F,us,NA,2005,2019,971,27,12.5,3.2,2.1,1,0.2,0.419,0.463,0.373,0.732,46.4,0.085
169,2004,NBA,1,19,MIA,Dorell Wright,18.209,F-G,us,NA,2005,2015,549,22.4,8.4,3.8,1.5,0.8,0.5,0.424,0.469,0.365,0.806,25.9,0.101
170,2004,NBA,1,20,DEN,Jameer Nelson,22.141,G,us,Saint Joseph's,2005,2018,878,27.9,11.3,3,5.1,0.9,0.1,0.436,0.474,0.368,0.81,48.3,0.094
171,2004,NBA,1,21,UTA,Pavel Podkolzin,19.165,C,ru,NA,2005,2006,6,4.7,0.7,1.5,0,0,0.2,0,0,,0.5,-0.1,-0.163
172,2004,NBA,1,22,NJN,Viktor Khryapa,21.331,F,ua,NA,2005,2008,143,16.4,4.5,3.4,1,0.6,0.3,0.443,0.457,0.292,0.658,2,0.041
173,2004,NBA,1,23,POR,Sergei Monia,21.076,F,ru,NA,2006,2006,26,13.2,3,2,0.7,0.3,0.2,0.333,0.377,0.265,0.714,-0.2,-0.025
174,2004,NBA,1,24,BOS,Delonte West,20.339,G,us,Saint Joseph's,2005,2012,432,27.4,9.7,2.9,3.6,1.1,0.4,0.448,0.479,0.372,0.826,24.5,0.099
175,2004,NBA,1,25,BOS,Tony Allen,22.17,G-F,us,Oklahoma State,2005,2018,820,22,8.1,3.5,1.3,1.4,0.4,0.475,0.492,0.282,0.709,38.7,0.103
176,2004,NBA,1,26,SAC,Kevin Martin,21.149,G,us,Western Carolina University,2005,2016,714,30.2,17.4,3.2,1.9,0.9,0.1,0.437,0.464,0.384,0.87,61.3,0.137
177,2004,NBA,1,27,LAL,Sasha Vuja_i_,20.113,G,si,NA,2005,2017,581,15.3,5.3,1.9,1.3,0.6,0.1,0.39,0.415,0.367,0.858,16,0.086
178,2004,NBA,1,28,SAS,Beno Udrih,21.36,G,si,NA,2005,2017,831,21.9,8.4,2.1,3.4,0.7,0.1,0.463,0.496,0.349,0.833,31.4,0.083
179,2004,NBA,1,29,IND,David Harrison,21.319,C,us,Colorado,2005,2008,189,14.2,5,2.9,0.2,0.3,1,0.53,0.53,,0.525,3.2,0.057
180,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,us,NA,2004,2020,1258,38.4,27.1,7.4,7.4,1.6,0.8,0.504,0.549,0.344,0.735,236.1,0.235
181,2003,NBA,1,2,DET,Darko Mili_i_,18.01,F-C,rs,NA,2004,2013,468,18.5,6,4.2,0.9,0.4,1.3,0.46,0.461,0,0.574,7.1,0.04
182,2003,NBA,1,3,DEN,Carmelo Anthony,19.032,F,us,Syracuse,2004,2020,1114,35.7,23.6,6.5,2.9,1,0.5,0.448,0.472,0.348,0.812,102,0.123
183,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Tech,2004,2016,893,35.8,19.2,8.5,2,0.8,1,0.494,0.506,0.335,0.799,106,0.159
184,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,us,Marquette,2004,2019,1054,33.9,22,4.7,5.4,1.5,0.8,0.48,0.502,0.293,0.765,120.7,0.162
185,2003,NBA,1,6,LAC,Chris Kaman,21.064,C,us,Central Michigan University,2004,2016,735,26.7,11.2,7.6,1.3,0.4,1.3,0.489,0.49,0.042,0.743,24.6,0.06
186,2003,NBA,1,7,CHI,Kirk Hinrich,22.18,G,us,Kansas,2004,2016,879,30.7,10.9,2.9,4.8,1.1,0.3,0.411,0.432,0.375,0.8,52.5,0.093
187,2003,NBA,1,8,MIL,T.J. Ford,20.099,G,us,Texas,2004,2012,429,27.7,11.2,3.1,5.8,1.2,0.1,0.433,0.45,0.289,0.815,16.9,0.068
188,2003,NBA,1,9,NYK,Mike Sweetney,20.249,F,us,Georgetown,2004,2007,233,15.5,6.5,4.5,0.6,0.3,0.5,0.485,0.485,0,0.689,7.8,0.103
189,2003,NBA,1,10,WAS,Jarvis Hayes,21.326,F,us,Georgia,2004,2010,427,23.2,8.3,3.1,1.1,0.7,0.1,0.415,0.444,0.356,0.798,10.2,0.049
190,2003,NBA,1,11,GSW,Mickaël Piétrus,21.144,G-F,gp,NA,2004,2013,557,21.5,8.3,3.1,0.8,0.7,0.4,0.425,0.495,0.355,0.665,19.7,0.079
191,2003,NBA,1,12,SEA,Nick Collison,22.248,F,us,Kansas,2005,2018,910,20.4,5.9,5.2,1,0.5,0.5,0.534,0.542,0.208,0.723,44.5,0.115
192,2003,NBA,1,13,MEM,Marcus Banks,21.224,G,us,UNLV,2004,2011,348,16,5.9,1.5,2.1,0.8,0.2,0.432,0.462,0.327,0.768,6.6,0.057
193,2003,NBA,1,14,SEA,Luke Ridnour,22.138,G,us,Oregon,2004,2015,830,26.1,9.3,2.3,4.5,1,0.2,0.431,0.458,0.349,0.862,36,0.08
194,2003,NBA,1,15,ORL,Reece Gaines,22.175,G,us,Louisville,2004,2006,71,8.5,1.7,0.7,0.7,0.2,0,0.324,0.336,0.269,0.606,-0.6,-0.049
195,2003,NBA,1,16,BOS,Troy Bell,22.233,G,us,Boston College,2004,2004,6,5.7,1.8,0.7,0.7,0.2,0,0.222,0.286,0,1,-0.2,-0.326
196,2003,NBA,1,17,PHO,_arko _abarkapa,22.041,F,rs,NA,2004,2006,150,10.3,4.3,2.1,0.6,0.2,0.2,0.427,0.457,0.273,0.733,1.1,0.035
197,2003,NBA,1,18,NOH,David West,22.306,F-C,us,Xavier,2004,2018,1034,28.2,13.6,6.4,2.2,0.7,0.8,0.495,0.499,0.265,0.817,85.9,0.141
198,2003,NBA,1,19,UTA,Sasha Pavlovi_,19.228,G-F,me,NA,2004,2013,567,15.7,4.9,1.8,0.9,0.5,0.2,0.404,0.433,0.346,0.673,7,0.038
199,2003,NBA,1,20,BOS,Dahntay Jones,22.186,G-F,us,Duke,2004,2017,624,15.7,5.4,1.7,0.8,0.4,0.2,0.439,0.454,0.329,0.751,9.9,0.048
200,2003,NBA,1,21,ATL,Boris Diaw,21.076,F-C,fr,NA,2004,2017,1064,27,8.6,4.4,3.5,0.6,0.5,0.493,0.529,0.336,0.717,51.6,0.086
201,2003,NBA,1,22,NJN,Zoran Planini_,20.292,G,ba,NA,2004,2006,148,10.7,3.8,1.3,1.1,0.4,0,0.405,0.447,0.289,0.677,1.5,0.046
202,2003,NBA,1,23,POR,Travis Outlaw,18.285,F,us,NA,2004,2014,622,20.9,8.5,3.2,0.8,0.5,0.6,0.423,0.447,0.337,0.744,16.5,0.061
203,2003,NBA,1,24,LAL,Brian Cook,22.209,F,us,Illinois,2004,2012,421,13.4,5.5,2.6,0.6,0.3,0.3,0.439,0.467,0.382,0.783,10.2,0.086
204,2003,NBA,1,25,DET,Carlos Delfino,20.306,G,ar,NA,2005,2013,507,22.8,8.1,3.6,1.7,0.9,0.2,0.401,0.438,0.365,0.758,22.5,0.093
205,2003,NBA,1,26,MIN,Ndudi Ebi,19.012,F,gb,NA,2004,2005,19,4.5,2.1,1,0.2,0.1,0.3,0.486,0.5,0,0.462,0.1,0.051
206,2003,NBA,1,27,MEM,Kendrick Perkins,18.232,C,us,NA,2004,2018,782,21.9,5.4,5.8,1,0.3,1.2,0.53,0.532,0,0.594,27.9,0.078
207,2003,NBA,1,28,SAS,Leandro Barbosa,20.215,G,br,NA,2004,2017,850,21.6,10.6,2,2.1,0.8,0.1,0.459,0.498,0.387,0.821,37.4,0.098
208,2003,NBA,1,29,DAL,Josh Howard,23.064,F-G,us,Wake Forest,2004,2013,507,30.3,14.3,5.7,1.6,1,0.5,0.448,0.471,0.332,0.77,38,0.119
209,2002,NBA,1,1,HOU,Yao Ming,21.292,C,cn,NA,2003,2011,486,32.5,19,9.2,1.6,0.4,1.9,0.524,0.525,0.2,0.833,65.9,0.2
210,2002,NBA,1,2,CHI,Jay Williams,20.294,G,us,Duke,2003,2003,75,26.1,9.5,2.6,4.7,1.1,0.2,0.399,0.431,0.322,0.64,0.8,0.02
211,2002,NBA,1,3,GSW,Mike Dunleavy,21.289,F-G,us,Duke,2003,2017,986,27.7,11.2,4.3,2.2,0.7,0.3,0.441,0.481,0.377,0.803,58.5,0.103
212,2002,NBA,1,4,MEM,Drew Gooden,20.28,F,us,Kansas,2003,2016,790,25.5,11,7.1,1.1,0.7,0.6,0.462,0.471,0.257,0.76,43.9,0.105
213,2002,NBA,1,5,DEN,Nikoloz Tskitishvili,19.078,F,ge,NA,2003,2006,172,11.3,2.9,1.8,0.7,0.3,0.3,0.304,0.332,0.235,0.73,-1.6,-0.039
214,2002,NBA,1,6,CLE,Dajuan Wagner,19.147,G,us,Memphis,2003,2007,103,21.4,9.4,1.4,1.9,0.7,0.1,0.366,0.385,0.321,0.77,0,0
215,2002,NBA,1,7,NYK,Nenê Hilário,19.291,F-C,br,NA,2003,2019,965,26.2,11.3,6,1.8,1.1,0.7,0.548,0.551,0.132,0.66,73.3,0.139
216,2002,NBA,1,8,LAC,Chris Wilcox,19.301,F,us,Maryland,2003,2013,628,19.9,8.2,4.9,0.7,0.5,0.4,0.541,0.543,0,0.643,26.9,0.103
217,2002,NBA,1,9,PHO,Amar'e Stoudemire,19.227,F-C,us,NA,2003,2016,846,31,18.9,7.8,1.2,0.8,1.2,0.537,0.54,0.236,0.761,92.5,0.169
218,2002,NBA,1,10,MIA,Caron Butler,22.11,F,us,UConn,2003,2016,881,32.2,14.1,5,2.3,1.3,0.2,0.434,0.456,0.348,0.847,50.9,0.086
219,2002,NBA,1,11,WAS,Jared Jeffries,20.218,F,us,Indiana,2003,2013,629,21.6,4.8,4.1,1.3,0.7,0.5,0.426,0.447,0.25,0.583,13.1,0.046
220,2002,NBA,1,12,LAC,Melvin Ely,24.061,C,us,Fresno State,2003,2014,375,16,5.3,3.2,0.7,0.3,0.6,0.46,0.461,0,0.625,4,0.032
221,2002,NBA,1,13,MIL,Marcus Haislip,21.191,F,us,Tennessee,2003,2010,89,9.6,3.5,1.5,0.2,0.2,0.4,0.437,0.444,0.35,0.659,0.5,0.026
222,2002,NBA,1,14,IND,Fred Jones,23.113,G-F,us,Oregon,2003,2009,430,24,7.5,2.2,2.3,0.8,0.3,0.411,0.445,0.353,0.809,16.5,0.077
223,2002,NBA,1,15,HOU,Bo_tjan Nachbar,21.363,F,si,NA,2003,2008,317,17.8,7.1,2.6,0.9,0.4,0.3,0.406,0.433,0.375,0.784,8.7,0.074
224,2002,NBA,1,16,PHI,Ji_í Welsch,22.156,G,cz,NA,2003,2006,247,18.6,6.1,2.4,1.5,0.8,0.1,0.403,0.425,0.343,0.752,5.7,0.059
225,2002,NBA,1,17,WAS,Juan Dixon,23.266,G,us,Maryland,2003,2009,436,19.5,8.4,1.9,1.8,0.8,0.1,0.413,0.442,0.341,0.833,6.1,0.034
226,2002,NBA,1,18,ORL,Curtis Borchardt,21.291,C,us,Stanford,2004,2005,83,13.5,3.1,3.3,0.8,0.2,0.6,0.421,0.423,0,0.742,1,0.041
227,2002,NBA,1,19,UTA,Ryan Humphrey,22.343,F,us,Notre Dame,2003,2005,85,9.1,2.3,2.2,0.2,0.2,0.2,0.344,0.348,0,0.539,-0.4,-0.027
228,2002,NBA,1,20,TOR,Kareem Rush,21.244,G,us,Missouri,2003,2010,346,17.2,6.4,1.7,1,0.4,0.2,0.4,0.425,0.358,0.703,1.7,0.013
229,2002,NBA,1,21,POR,Qyntel Woods,21.135,F,us,Northeast Mississippi Community College,2003,2006,167,12.3,4.1,2.3,0.6,0.4,0.2,0.452,0.47,0.357,0.603,1.4,0.032
230,2002,NBA,1,22,PHO,Casey Jacobsen,21.104,G-F,us,Stanford,2003,2008,287,18.5,5.2,1.8,1.1,0.4,0.1,0.393,0.433,0.352,0.769,6.2,0.056
231,2002,NBA,1,23,DET,Tayshaun Prince,22.124,F,us,Kentucky,2003,2016,1017,31,11.1,4.3,2.4,0.6,0.5,0.455,0.47,0.367,0.756,63.1,0.096
232,2002,NBA,1,24,NJN,Nenad Krsti_,18.341,C,rs,NA,2005,2011,419,25.2,10,5.4,0.8,0.4,0.7,0.494,0.495,0.143,0.73,21.5,0.098
233,2002,NBA,1,25,DEN,Frank Williams,22.127,G,us,Illinois,2003,2005,86,11.1,2.9,0.9,1.9,0.4,0.1,0.352,0.376,0.3,0.833,0.1,0.003
234,2002,NBA,1,26,SAS,John Salmons,22.202,G,us,Miami (FL),2003,2015,895,26.4,9.3,2.9,2.4,0.8,0.3,0.431,0.457,0.366,0.799,33.9,0.069
235,2002,NBA,1,27,LAL,Chris Jefferies,22.139,G-F,us,Fresno State,2003,2004,72,12,3.9,1.2,0.4,0.3,0.3,0.383,0.394,0.365,0.667,-0.5,-0.03
236,2002,NBA,1,28,SAC,Dan Dickau,23.289,G,us,Gonzaga,2003,2008,300,15.4,5.8,1.4,2.5,0.5,0,0.401,0.432,0.341,0.831,5.9,0.061
237,2001,NBA,1,1,WAS,Kwame Brown,19.114,F,us,NA,2002,2013,607,22.1,6.6,5.5,0.9,0.5,0.6,0.492,0.493,0.111,0.57,20.8,0.074
238,2001,NBA,1,2,LAC,Tyson Chandler,18.273,C,us,NA,2002,2020,1160,27.3,8.2,9,0.8,0.5,1.2,0.597,0.598,0,0.644,102.1,0.155
239,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,es,NA,2002,2019,1226,33.4,17,9.2,3.2,0.5,1.6,0.507,0.512,0.368,0.753,144.1,0.169
240,2001,NBA,1,4,CHI,Eddy Curry,18.209,C,us,NA,2002,2013,527,24.9,12.9,5.2,0.5,0.3,0.7,0.545,0.544,1,0.642,21.7,0.08
241,2001,NBA,1,5,GSW,Jason Richardson,20.163,G,us,Michigan State,2002,2015,857,34.1,17.1,5,2.7,1.2,0.4,0.438,0.474,0.37,0.707,59.1,0.097
242,2001,NBA,1,6,MEM,Shane Battier,22.297,F,us,Duke,2002,2014,977,30.7,8.6,4.2,1.8,1,0.9,0.437,0.486,0.384,0.743,75.7,0.121
243,2001,NBA,1,7,NJN,Eddie Griffin,19.033,F-C,us,Seton Hall,2002,2007,303,22.2,7.2,5.8,0.8,0.3,1.7,0.377,0.408,0.315,0.671,10.9,0.078
244,2001,NBA,1,8,CLE,DeSagana Diop,19.153,C,sn,NA,2002,2013,601,14,2,3.7,0.4,0.4,1,0.427,0.429,0.167,0.467,12.8,0.073
245,2001,NBA,1,9,DET,Rodney White,21.004,F,us,UNC Charlotte,2002,2005,218,15.4,7.1,2.2,1.1,0.5,0.3,0.424,0.452,0.314,0.749,1.8,0.026
246,2001,NBA,1,10,BOS,Joe Johnson,20.003,G-F,us,Arkansas,2002,2018,1276,34.7,16,4,3.9,0.8,0.2,0.441,0.472,0.371,0.802,82.8,0.09
247,2001,NBA,1,11,BOS,Kedrick Brown,20.106,G,us,Okaloosa-Walton Community College,2002,2005,143,13.5,3.6,2.4,0.7,0.6,0.2,0.405,0.471,0.274,0.64,3,0.074
248,2001,NBA,1,12,SEA,Vladimir Radmanovi_,20.225,F,ba,NA,2002,2013,737,21.9,8,3.8,1.4,0.7,0.4,0.415,0.451,0.378,0.758,26.5,0.079
249,2001,NBA,1,13,HOU,Richard Jefferson,21.011,F,us,Arizona,2002,2018,1181,29,12.6,4,2,0.7,0.3,0.464,0.493,0.376,0.768,83,0.116
250,2001,NBA,1,14,GSW,Troy Murphy,21.061,F-C,us,Notre Dame,2002,2013,729,27.3,10.8,7.8,1.5,0.7,0.4,0.445,0.464,0.388,0.785,50.3,0.121
251,2001,NBA,1,15,ORL,Steven Hunter,19.244,C,us,DePaul,2002,2010,400,15,4.5,3.2,0.2,0.1,1.1,0.56,0.56,0,0.485,10.6,0.085
252,2001,NBA,1,16,CHH,Kirk Haston,22.115,F,us,Indiana,2002,2003,27,5,1.2,1,0.3,0,0.2,0.232,0.26,0,0.5,-0.5,-0.197
253,2001,NBA,1,17,TOR,Michael Bradley,22.076,F-C,us,Villanova,2002,2006,173,11.7,2.8,3.4,0.5,0.1,0.3,0.477,0.488,0.143,0.511,2,0.047
254,2001,NBA,1,18,HOU,Jason Collins,22.213,C,us,Stanford,2002,2014,735,20.4,3.6,3.7,0.9,0.5,0.5,0.411,0.414,0.206,0.647,20.1,0.064
255,2001,NBA,1,19,POR,Zach Randolph,19.351,F-C,us,Michigan State,2002,2018,1116,31,16.6,9.1,1.8,0.7,0.3,0.471,0.481,0.273,0.764,81.1,0.112
256,2001,NBA,1,20,CLE,Brendan Haywood,21.218,C,us,UNC,2002,2015,816,22.9,6.8,6,0.5,0.4,1.4,0.528,0.528,0,0.587,43.8,0.113
257,2001,NBA,1,21,BOS,Joseph Forte,20.101,G,us,UNC,2002,2003,25,5,1.2,0.7,0.7,0.2,0,0.234,0.268,0,0.8,-0.4,-0.166
258,2001,NBA,1,22,ORL,Jeryl Sasser,22.14,G,us,SMU,2002,2003,82,12.9,2.5,2.3,0.8,0.6,0.1,0.303,0.305,0.295,0.687,0.7,0.032
259,2001,NBA,1,23,HOU,Brandon Armstrong,21.016,G,us,Pepperdine,2002,2004,108,6.5,2.2,0.6,0.2,0.2,0,0.352,0.358,0.333,0.6,-0.6,-0.039
260,2001,NBA,1,24,UTA,Raül López,21.078,G,es,NA,2004,2005,113,18.9,6.5,1.7,3.8,0.7,0,0.429,0.45,0.346,0.853,2.1,0.047
261,2001,NBA,1,25,SAC,Gerald Wallace,18.344,F,us,Alabama,2002,2015,832,29.7,11.9,5.8,2.1,1.4,0.8,0.469,0.502,0.312,0.709,59.7,0.116
262,2001,NBA,1,26,PHI,Samuel Dalembert,20.053,C,ht,Seton Hall,2002,2015,886,24.4,7.7,7.8,0.5,0.5,1.7,0.521,0.522,0.083,0.706,51.3,0.114
263,2001,NBA,1,27,MEM,Jamaal Tinsley,23.125,G,us,Iowa State,2002,2014,547,26.4,8.5,2.9,6.1,1.4,0.3,0.393,0.432,0.299,0.716,17.2,0.057
264,2001,NBA,1,28,SAS,Tony Parker,19.046,G,be,NA,2002,2019,1254,30.5,15.5,2.7,5.6,0.8,0.1,0.491,0.51,0.324,0.751,111.3,0.14
265,2000,NBA,1,1,NJN,Kenyon Martin,22.186,F,us,Cincinnati,2001,2015,757,30.6,12.3,6.8,1.9,1.2,1.1,0.483,0.492,0.234,0.629,48,0.1
266,2000,NBA,1,2,VAN,Stromile Swift,20.225,F,us,LSU,2001,2009,547,19.8,8.4,4.6,0.5,0.6,1.2,0.473,0.476,0.074,0.699,21.3,0.095
267,2000,NBA,1,3,LAC,Darius Miles,18.267,F,us,NA,2001,2009,446,26.3,10.1,4.9,1.9,0.9,1.1,0.472,0.482,0.168,0.59,9.5,0.039
268,2000,NBA,1,4,CHI,Marcus Fizer,21.328,F,us,Iowa State,2001,2006,289,20.9,9.6,4.6,1.2,0.5,0.3,0.435,0.446,0.191,0.691,2.7,0.022
269,2000,NBA,1,5,ORL,Mike Miller,20.135,F-G,us,Florida,2001,2017,1032,26.9,10.6,4.2,2.6,0.6,0.2,0.459,0.502,0.407,0.769,60.7,0.105
270,2000,NBA,1,6,ATL,DerMarr Johnson,20.059,F,us,Cincinnati,2001,2008,344,17.2,6.2,2.2,0.9,0.6,0.4,0.411,0.469,0.336,0.789,6.4,0.052
271,2000,NBA,1,7,CHI,Chris Mihm,20.353,C,us,Texas,2001,2009,436,20.1,7.5,5.3,0.5,0.3,1,0.459,0.46,0.231,0.704,13.3,0.073
272,2000,NBA,1,8,CLE,Jamal Crawford,20.105,G,us,Michigan,2001,2019,1326,29.4,14.6,2.2,3.4,0.9,0.2,0.41,0.449,0.348,0.862,60.6,0.075
273,2000,NBA,1,9,HOU,Joel Przybilla,20.267,C,us,Minnesota,2001,2013,592,19.8,3.9,6.2,0.4,0.3,1.4,0.552,0.553,0,0.557,23,0.094
274,2000,NBA,1,10,ORL,Keyon Dooling,20.056,G,us,Missouri,2001,2013,728,19.4,7,1.3,2.2,0.6,0.1,0.416,0.443,0.349,0.799,18.5,0.063
275,2000,NBA,1,11,BOS,Jérôme Moïso,22.019,F-C,fr,UCLA,2001,2005,145,9.6,2.7,2.7,0.3,0.3,0.5,0.489,0.494,0,0.593,2.1,0.074
276,2000,NBA,1,12,DAL,Etan Thomas,22.094,F,us,Syracuse,2002,2011,409,17.3,5.7,4.7,0.4,0.3,1,0.513,0.513,,0.603,14.9,0.101
277,2000,NBA,1,13,ORL,Courtney Alexander,23.068,G,us,Fresno State,2001,2003,187,21.7,9,2.2,1.2,0.6,0.1,0.422,0.429,0.339,0.813,4.1,0.048
278,2000,NBA,1,14,DET,Mateen Cleaves,22.3,G,us,Michigan State,2001,2006,167,11.2,3.6,1,1.9,0.4,0,0.389,0.399,0.267,0.728,-0.8,-0.021
279,2000,NBA,1,15,MIL,Jason Collier,22.299,C,us,Georgia Tech,2001,2005,151,14.4,5.6,2.9,0.3,0.2,0.2,0.455,0.458,0.35,0.738,1.9,0.042
280,2000,NBA,1,16,SAC,Hedo Türko_lu,21.107,F,tr,,2001,2015,997,26.8,11.1,4,2.8,0.8,0.3,0.426,0.45,0.384,0.784,63.3,0.114
281,2000,NBA,1,17,SEA,Desmond Mason,22.266,F,us,Oklahoma State,2001,2010,643,30.5,12.1,4.5,1.6,0.7,0.4,0.449,0.456,0.26,0.74,23.1,0.056
282,2000,NBA,1,18,LAC,Quentin Richardson,20.081,G,us,DePaul,2001,2013,783,26.5,10.3,4.7,1.5,0.8,0.2,0.397,0.431,0.355,0.718,32.8,0.076
283,2000,NBA,1,19,CHH,Jamaal Magloire,22.044,C,ca,Kentucky,2001,2012,680,21.5,7.2,6.5,0.6,0.3,0.9,0.48,0.481,0,0.639,27.7,0.091
284,2000,NBA,1,20,PHI,Speedy Claxton,22.057,G,us,Hofstra,2002,2009,334,25.6,9.3,2.5,4.3,1.5,0.1,0.409,0.428,0.193,0.762,14.2,0.08
285,2000,NBA,1,21,TOR,Morris Peterson,22.312,F,us,Michigan State,2001,2011,711,27.2,10.7,3.5,1.5,0.9,0.2,0.418,0.45,0.373,0.773,35.7,0.089
286,2000,NBA,1,22,NYK,Donnell Harvey,19.311,F,us,Florida,2001,2005,205,16.2,5.6,4,0.8,0.5,0.4,0.46,0.464,0.1,0.659,4.7,0.069
287,2000,NBA,1,23,UTA,DeShawn Stevenson,19.091,G,us,NA,2001,2013,824,22.3,7.2,2.2,1.6,0.5,0.2,0.406,0.433,0.34,0.698,12.1,0.032
288,2000,NBA,1,24,CHI,Dalibor Bagari_,20.147,C,de,NA,2001,2003,95,10.2,2.6,2.5,0.4,0.3,0.5,0.361,0.363,0,0.559,-0.9,-0.043
289,2000,NBA,1,25,PHO,Jake Tsakalidis,21.024,C,ge,NA,2001,2007,315,15.9,4.8,3.9,0.3,0.2,0.7,0.49,0.49,0,0.657,9.9,0.095
290,2000,NBA,1,26,DEN,Mamadou N'Diaye,25.019,C,sn,Auburn,2001,2005,69,12.4,3.8,3.3,0.1,0.2,0.9,0.427,0.429,0,0.736,1.8,0.101
291,2000,NBA,1,27,IND,Primo_ Brezec,20.275,C,si,NA,2002,2010,342,18.1,7.2,3.9,0.5,0.2,0.4,0.498,0.499,0.167,0.701,10.8,0.084
292,2000,NBA,1,28,POR,Erick Barkley,22.133,G,us,St. John's,2001,2002,27,9.9,2.9,0.8,1.5,0.7,0,0.356,0.373,0.267,0.9,0.2,0.027
293,2000,NBA,1,29,LAL,Mark Madsen,24.158,F,us,Stanford,2001,2009,453,11.8,2.2,2.6,0.4,0.3,0.2,0.457,0.465,0.063,0.527,8.2,0.074
