Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS_DIFF
Atlanta Hawks,82,37,45,0.451,48.4,98.2,36.3,79.9,45.4,4.7,13.1,35.6,21,27.2,77.2,12.3,29.9,42.2,22,14.9,7.3,5.5,5.1,20.4,21.9,-1.8
Boston Celtics,82,66,16,0.805,48.2,100.5,36.4,76.7,47.5,7.3,19.1,38.1,20.5,26.5,77.1,10.1,31.9,42,22.4,15.2,8.5,4.6,4.7,22.7,22.2,10.3
Charlotte Hornets,82,32,50,0.39,48.5,97.1,36.1,79.9,45.2,6.5,17.6,36.7,18.4,25.8,71.4,10.9,29.8,40.6,21.3,14.7,7.5,4.9,5.8,21.7,21,-4.4
Chicago Bulls,82,33,49,0.402,48.3,97.3,36.4,83.7,43.5,5.8,15.9,36.3,18.7,24.7,75.6,12.8,30.2,43,22.1,14.6,7.7,5.2,5.7,21.8,21.3,-3.1
Cleveland Cavaliers,82,45,37,0.549,48.4,96.4,35.8,81.7,43.9,6.7,18.8,35.8,18,25.1,71.7,13.3,31.3,44.6,20,14,7.1,5.2,4.7,20.9,20.3,-0.4
Dallas Mavericks,82,51,31,0.622,48.1,100.4,36.9,79.5,46.4,6,17.1,35.2,20.6,25.3,81.4,10.8,32.2,43,21,12.6,6,4.9,4.4,21.8,21.2,4.5
Denver Nuggets,82,50,32,0.61,48.4,110.7,40.3,85.8,47,6.9,19.6,35.5,23.1,30.7,75.1,11.2,32.9,44.1,24.7,14.7,9.2,6.7,4.8,21.1,23.8,3.7
Detroit Pistons,82,59,23,0.72,48.1,97.5,36.6,79.9,45.8,5.9,16.2,36.6,18.4,24,76.7,11.9,29.5,41.4,22.3,11.7,7.1,5.8,3.9,20.6,19.7,7.4
Golden State Warriors,82,48,34,0.585,48.2,111,41.5,90.3,45.9,9.3,26.6,34.8,18.8,24.9,75.2,12.7,30.4,43.2,22.4,13.2,9.1,4.6,5,22.9,21.2,2.2
Houston Rockets,82,55,27,0.671,48.1,96.7,36.6,81.7,44.8,7.1,20.8,34.2,16.4,22.5,72.6,12.2,32.4,44.6,21.4,13.7,7.3,5.1,4.6,19.6,19.7,4.7
Indiana Pacers,82,36,46,0.439,48.2,104,37.8,85.3,44.4,9.2,24.6,37.4,19.1,24.9,76.8,11,32.1,43.1,22.7,15.1,7.6,5,5.1,23.4,21.7,-1.4
Los Angeles Clippers,82,23,59,0.28,48.3,93.8,34.4,78.6,43.8,4.3,13.2,32.4,20.8,26.6,78.1,9.8,30.4,40.1,21.1,14.4,6.8,4.9,4.7,21.3,21.6,-7.3
Los Angeles Lakers,82,57,25,0.695,48.2,108.6,39.6,83.1,47.6,8.1,21.4,37.8,21.3,27.7,76.9,11,33.2,44.1,24.4,14.1,8,5.3,4.5,20.6,22.6,7.3
Memphis Grizzlies,82,22,60,0.268,48.3,100.7,37.3,82.2,45.4,7.6,21.7,34.9,18.5,25.6,72.3,10.3,31.3,41.6,19.2,15.3,6.1,4.7,4.9,19.4,22.5,-6.2
Miami Heat,82,15,67,0.183,48.4,91.4,34.2,77.3,44.3,6,16.7,35.8,16.9,23.2,72.7,9.1,28.6,37.6,20,14.7,7.2,4.3,4.2,20.4,20.1,-8.6
Milwaukee Bucks,82,26,56,0.317,48.4,97,36.9,82.3,44.9,5.5,16,34.4,17.7,24.1,73.3,12.9,28.8,41.7,21.5,14.8,6.6,4.4,4.9,21.3,21.1,-6.9
Minnesota Timberwolves,82,22,60,0.268,48.1,95.6,37.5,83.1,45.1,5.4,15.4,35,15.2,20.6,73.6,11.8,29.6,41.4,19.9,14.5,7.5,3.7,5.7,23,17.5,-6.8
Brooklyn Nets,82,34,48,0.415,48.4,95.8,34.8,78.7,44.3,6.1,17.4,34.8,20.1,27.3,73.6,11.1,30.7,41.9,23.5,15,6.4,4.8,4.4,22.6,22.4,-5.1
New Orleans Pelicans,82,56,26,0.683,48.3,100.9,38.6,82.9,46.6,7.7,19.8,38.9,16,20.8,76.9,11.4,30.4,41.8,21.8,11.9,7.8,3.9,4,18.7,19.2,5.3
New York Knicks,82,23,59,0.28,48.5,96.9,36.2,82.4,43.9,6,17.7,33.7,18.6,25.5,72.7,12.5,30,42.5,18.7,14.5,6.4,2.6,5.2,21.5,20.3,-6.6
Orlando Magic,82,52,30,0.634,48.2,104.5,37.3,78.6,47.4,9.8,25.3,38.6,20.1,27.9,72.1,9.4,32.6,42,20.8,14.3,6.3,4.1,4.2,20.6,23.1,5.5
Philadelphia 76ers,82,40,42,0.488,48.2,96.6,37.3,81.1,46,3.7,11.6,31.7,18.4,26.1,70.6,13,28.9,41.9,20.4,14.3,8.7,4.9,5.1,19.8,20.8,0.4
Phoenix Suns,82,55,27,0.671,48.2,110.1,41.4,82.7,50,8.5,21.5,39.3,18.9,24.1,78.3,8.8,32.7,41.5,26.7,14.4,6.5,6.3,3.8,19.9,21.1,5
Portland Trailblazers,82,41,41,0.5,48.5,95.4,35.8,79.8,44.8,6.6,17.4,37.7,17.2,22.5,76.7,11,29.7,40.7,21.1,12.9,5.5,4.4,3.7,20,20.2,-1
Sacramento Kings,82,38,44,0.463,48.4,102.5,37.1,80,46.4,6.2,16.7,37.3,22.1,27.7,79.8,10.1,30,40.1,19.1,16.1,7.9,4.1,5.5,22.4,23.1,-2.3
San Antonio Spurs,82,56,26,0.683,48.1,95.4,35.8,78.3,45.7,7.2,19.6,36.9,16.5,21.6,76.1,9.4,31.9,41.3,21,12.6,6.4,4.1,4.4,18.7,19.8,4.8
Oklahoma City Thunder,82,20,62,0.244,48.4,97.5,38.1,85.8,44.4,3.8,11.5,33.3,17.5,22.8,77,11.8,32.8,44.6,21.3,16,6.5,4.9,5.4,20.5,19.6,-8.8
Toronto Raptors,82,41,41,0.5,48.4,100.2,38.4,82,46.8,7,17.8,39.2,16.4,20.2,81.2,9.6,30.4,40.1,23.8,11.7,7,4.1,4.1,19.5,18.4,2.9
Utah Jazz,82,54,28,0.659,48.1,106.2,40,80.4,49.7,5,13.4,37.2,21.3,28,75.9,11.5,29.4,40.9,26.4,14.6,8.7,4.3,5.1,24,23.1,6.9
Washington Wizards,82,43,39,0.524,48.5,98.8,36.4,81.6,44.6,7,19.7,35.6,19,24.3,78.2,12.3,29.3,41.6,19.6,13.2,7.7,4.8,4.4,19.6,20.2,-0.3
