Team,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS_DIFF
Brooklyn Nets,82,44,38,0.537,48.5,98.5,35.7,77.9,45.9,8.6,23.4,36.9,18.4,24.4,75.3,8.8,29.4,38.1,20.9,14.5,8.6,3.8,4.1,21.7,20.8,-1
Washington Wizards,82,44,38,0.537,48.9,100.7,38.7,84.4,45.9,7.9,20.8,38,15.3,20.9,73.1,10.8,31.4,42.2,23.3,14.7,8.1,4.6,3.9,20.4,19.5,1.3
Charlotte Hornets,82,43,39,0.524,48.5,96.9,36.3,82.1,44.2,6.3,17.9,35.1,18,24.4,73.7,9.5,33.2,42.7,21.7,12.3,6.1,5.1,5.1,18.2,20.9,-0.2
Minnesota Timberwolves,82,40,42,0.488,48.4,106.9,38.9,87.5,44.4,7.3,21.4,34.1,21.8,28.1,77.8,12.5,32.2,44.7,23.9,13.9,8.8,3.6,5.6,18.3,23.6,2.7
Atlanta Hawks,82,38,44,0.463,48.4,101,37.3,81.6,45.8,9.4,25.8,36.3,17,21.7,78.1,8.7,31.3,40,24.9,15.3,8.3,4,4.3,19.2,20,-0.5
New York Knicks,82,37,45,0.451,48.4,98.6,36.9,82.2,44.9,9.3,24.9,37.2,15.5,20.4,76.1,10.6,29.7,40.3,20,13,7.7,4.5,3.4,22.1,19.6,-0.8
Denver Nuggets,82,36,46,0.439,48.2,104.4,38.4,85.9,44.7,8.6,23.9,35.8,19.1,26.3,72.6,12.3,33.1,45.4,22.4,15.9,7.5,5.6,5.6,23,21.7,-2.1
New Orleans Pelicans,82,34,48,0.415,48.4,99.7,37.8,82.5,45.9,5.9,15.9,37.3,18.2,23.6,76.9,11.4,30.3,41.7,21.3,13.8,7.9,6.4,6.1,22.6,20.3,-2.7
Cleveland Cavaliers,82,33,49,0.402,48.6,98.2,37,84.8,43.7,7.1,20,35.6,17,22.7,75.1,12.1,32.1,44.1,21.2,14.2,7.1,3.7,5.6,20,19.5,-3.3
Detroit Pistons,82,29,53,0.354,48.2,101,38.8,86.9,44.7,6.2,19.3,32.1,17.3,25.7,67,14.6,30.8,45.4,20.9,14.5,8.4,4.8,4.9,20.3,20.7,-3.7
Sacramento Kings,82,28,54,0.341,48.4,100.5,36.9,82.5,44.7,6,18,33.3,20.7,27.3,75.9,12.1,32.4,44.5,18.9,15.2,7.2,3.9,5.6,22.5,23.1,-2.9
Los Angeles Lakers,82,27,55,0.329,48.1,103,38.3,85.1,45,9.4,24.8,38.1,17,22.4,75.7,9.1,32,41,24.5,15.1,7.5,5.4,4.7,19.8,19.3,-6.3
Boston Celtics,82,25,57,0.305,48.1,96.2,36.5,83.9,43.5,7,21.1,33.3,16.2,20.8,77.7,12,30.5,42.5,21,15.4,7.1,4.2,4.5,21.3,19.1,-4.5
Utah Jazz,82,25,57,0.305,48.2,95,36,81.1,44.4,6.6,19.2,34.4,16.4,22,74.7,11,30.2,41.2,20.3,14.6,7,4.5,4.9,20.7,20.4,-7.2
Orlando Magic,82,23,59,0.28,48.7,96.5,36.9,82.7,44.5,6.9,19.5,35.3,15.9,20.9,76.3,9.7,32.4,42,21,14.9,7.7,4.3,5.4,20.5,18.3,-5.4
Philadelphia 76ers,82,19,63,0.232,48.4,99.5,37.9,87.2,43.5,7,22.5,31.2,16.6,23.4,71,11.6,31.2,42.7,21.8,16.9,9.3,4,6.8,22.5,20.6,-10.5
Milwaukee Bucks,82,15,67,0.183,48.5,95.5,36,82.2,43.8,6.7,18.9,35.3,16.8,22.5,74.7,11.8,29.3,41.1,21.5,15.1,6.6,4.9,5,20.9,20.6,-8.2
